,name,score,process_url
75,Intel Core i7-4810MQ,8573,https://www.solotodo.cl/notebooks?processors=126214
76,Intel Xeon E3-1505M v5,8565,https://www.solotodo.cl/notebooks?processors=499812
77,Intel Core i5-1035G7,8495,https://www.solotodo.cl/notebooks?processors=1159084
78,AMD Ryzen 7 3750H,8430,https://www.solotodo.cl/notebooks?processors=942142
79,Intel Core i7-8557U,8429,https://www.solotodo.cl/notebooks?processors=1406910
80,Intel Core i5-10200H,8391,https://www.solotodo.cl/notebooks?processors=1411439
81,Intel Core i7-4712HQ,8298,https://www.solotodo.cl/notebooks?processors=126043
82,Intel Core i7-4710HQ,8294,https://www.solotodo.cl/notebooks?processors=125991
83,Intel Core i5-8259U,8280,https://www.solotodo.cl/notebooks?processors=808799
84,Intel Core i5-9400H,8267,https://www.solotodo.cl/notebooks?processors=1300039
85,Intel Core i5-1035G4,8235,https://www.solotodo.cl/notebooks?processors=1023188
86,Intel Core i5-8257U,8182,https://www.solotodo.cl/notebooks?processors=1007707
87,AMD Ryzen 5 Pro 2500U,8174,https://www.solotodo.cl/notebooks?processors=1060047
88,AMD Ryzen 5 3550H,8123,https://www.solotodo.cl/notebooks?processors=940573
89,Intel Core i7-4750HQ,8066,https://www.solotodo.cl/notebooks?processors=126131
90,AMD Ryzen 5 3580U Microsoft Surface Edition,8065,https://www.solotodo.cl/notebooks?processors=1158127
91,Intel Core i5-9300H,8014,https://www.solotodo.cl/notebooks?processors=959393
92,Intel Core i7-4700HQ,8013,https://www.solotodo.cl/notebooks?processors=125882
93,Intel Core i5-1035G1,7990,https://www.solotodo.cl/notebooks?processors=1019531
94,Intel Core i7-4702MQ,7968,https://www.solotodo.cl/notebooks?processors=125964
95,Intel Core i7-4710MQ,7965,https://www.solotodo.cl/notebooks?processors=126022
96,Intel Core i7-4700MQ,7923,https://www.solotodo.cl/notebooks?processors=125903
97,Intel Core i5-8279U,7917,https://www.solotodo.cl/notebooks?processors=935296
98,Intel Core i7-3740QM,7905,https://www.solotodo.cl/notebooks?processors=125616
99,AMD Ryzen 3 4300U,7902,https://www.solotodo.cl/notebooks?processors=1276064
100,Intel Core i7-4720HQ,7898,https://www.solotodo.cl/notebooks?processors=126104
101,Intel Core i5-9300HF,7731,https://www.solotodo.cl/notebooks?processors=1173857
102,Intel Core i7-4702HQ,7714,https://www.solotodo.cl/notebooks?processors=125940
103,Intel Core i7-4712MQ,7538,https://www.solotodo.cl/notebooks?processors=126076
104,Intel Core i5-8300H,7536,https://www.solotodo.cl/notebooks?processors=746123
105,Intel Core i7-3635QM,7450,https://www.solotodo.cl/notebooks?processors=125489
106,Intel Core i7-3630QM,7444,https://www.solotodo.cl/notebooks?processors=125427
107,Intel Core i7-3610QM,7400,https://www.solotodo.cl/notebooks?processors=125338
108,AMD Ryzen 7 3700U,7379,https://www.solotodo.cl/notebooks?processors=960479
109,AMD Ryzen 7 Pro 3700U,7345,https://www.solotodo.cl/notebooks?processors=1174511
110,Intel Core i7-3632QM,7339,https://www.solotodo.cl/notebooks?processors=125456
111,Intel Core i7-10610U,7320,https://www.solotodo.cl/notebooks?processors=1218866
112,AMD Ryzen 5 3450U,7255,https://www.solotodo.cl/notebooks?processors=1271460
113,Intel Core i7-3615QM,7252,https://www.solotodo.cl/notebooks?processors=125394
114,AMD Ryzen 7 3780U Microsoft Surface Edition,7203,https://www.solotodo.cl/notebooks?processors=1158991
115,AMD Ryzen 5 PRO 3500U,7143,https://www.solotodo.cl/notebooks?processors=1071751
116,AMD Ryzen 5 3500U,7143,https://www.solotodo.cl/notebooks?processors=941577
117,Intel Core i7-10510U,7103,https://www.solotodo.cl/notebooks?processors=1015092
118,Intel Xeon E3-1505M v6,6972,https://www.solotodo.cl/notebooks?processors=805195
119,Intel Core i7-7700HQ,6951,https://www.solotodo.cl/notebooks?processors=577657
120,Intel Core i7-3612QM,6925,https://www.solotodo.cl/notebooks?processors=125373
121,Intel Core i7-6820HQ,6884,https://www.solotodo.cl/notebooks?processors=497998
122,Intel Core i5-10310U,6722,https://www.solotodo.cl/notebooks?processors=1222400
123,Intel Core i7-2760QM,6652,https://www.solotodo.cl/notebooks?processors=125142
