,name,score,process_url
26,AMD Ryzen 5 5600U,16053,https://www.solotodo.cl/notebooks?processors=1412546
27,Intel Core i7-10875H,15908,https://www.solotodo.cl/notebooks?processors=1188382
28,AMD Ryzen 7 PRO 4750U,15773,https://www.solotodo.cl/notebooks?processors=1211318
29,Intel Xeon E-2286M,15502,https://www.solotodo.cl/notebooks?processors=997893
30,Intel Core i9-9980HK,15349,https://www.solotodo.cl/notebooks?processors=934276
31,Intel Core i5-11400H,15257,https://www.solotodo.cl/notebooks?processors=1412279
32,Apple M-Series-M1,15165,https://www.solotodo.cl/notebooks?processors=1294939
33,AMD Ryzen 5 4600H,15034,https://www.solotodo.cl/notebooks?processors=1203363
34,Intel Core i7-9700K,14609,https://www.solotodo.cl/notebooks?processors=1074247
35,Intel Core i9-9880HK,14141,https://www.solotodo.cl/notebooks?processors=1204774
36,Intel Core i9-9880H,14141,https://www.solotodo.cl/notebooks?processors=935366
37,Intel Core i5-10600,14028,https://www.solotodo.cl/notebooks?processors=1545676
38,Intel Xeon E-2186M,14011,https://www.solotodo.cl/notebooks?processors=876140
39,Intel Xeon E-2176M,14011,https://www.solotodo.cl/notebooks?processors=854507
40,AMD Ryzen 7 4700U,13844,https://www.solotodo.cl/notebooks?processors=1224071
41,AMD Ryzen 7 1700,13762,https://www.solotodo.cl/notebooks?processors=697499
42,AMD Ryzen 5 4600U,13732,https://www.solotodo.cl/notebooks?processors=1441446
43,Intel Core i7-11375H,13548,https://www.solotodo.cl/notebooks?processors=1381108
44,AMD Ryzen 5 5500U,13547,https://www.solotodo.cl/notebooks?processors=1423177
45,Intel Core i7-11370H,13150,https://www.solotodo.cl/notebooks?processors=1358905
46,Intel Core i7-10850H,13119,https://www.solotodo.cl/notebooks?processors=1217127
47,AMD Ryzen 5 PRO 4650U,13103,https://www.solotodo.cl/notebooks?processors=1234694
48,Intel Xeon W-10855M,13040,https://www.solotodo.cl/notebooks?processors=1501822
49,Intel Core i7-10750H,12741,https://www.solotodo.cl/notebooks?processors=1168823
50,AMD Ryzen 5 1600,12444,https://www.solotodo.cl/notebooks?processors=697546
51,Intel Xeon E-2276M,12330,https://www.solotodo.cl/notebooks?processors=1071780
52,Intel Core i5-10500H,12254,https://www.solotodo.cl/notebooks?processors=1369095
53,Intel Core i7-9750HF,11788,https://www.solotodo.cl/notebooks?processors=1111589
54,Intel Core i7-1165G7,11752,https://www.solotodo.cl/notebooks?processors=1259058
55,Intel Core i7-9850H,11627,https://www.solotodo.cl/notebooks?processors=1150191
56,Intel Core i5-11260H,11623,https://www.solotodo.cl/notebooks?processors=1454508
57,Intel Core i7-1185G7,11411,https://www.solotodo.cl/notebooks?processors=1297461
58,Intel Core i7-9750H,11404,https://www.solotodo.cl/notebooks?processors=935404
59,Intel Core i5-11320H,11240,https://www.solotodo.cl/notebooks?processors=1553604
60,AMD Ryzen 5 4500U,11236,https://www.solotodo.cl/notebooks?processors=1203806
61,Intel Core i5-11300H,11209,https://www.solotodo.cl/notebooks?processors=1412836
62,Intel Core i7-11390H,11202,https://www.solotodo.cl/notebooks?processors=1543981
63,Intel Core i7-1160G7,10981,https://www.solotodo.cl/notebooks?processors=1411500
64,Intel Core i5-1145G7,10849,https://www.solotodo.cl/notebooks?processors=1434438
65,Intel Core i9-8950HK,10711,https://www.solotodo.cl/notebooks?processors=788525
66,Intel Core i7-8850H,10522,https://www.solotodo.cl/notebooks?processors=808240
67,Intel Core i5-1130G7,10483,https://www.solotodo.cl/notebooks?processors=1414002
68,Intel Core i7-7820HK,10311,https://www.solotodo.cl/notebooks?processors=621962
69,Intel Core i7-4980HQ,10291,https://www.solotodo.cl/notebooks?processors=126346
70,Intel Core i7-8750H,10205,https://www.solotodo.cl/notebooks?processors=735986
71,AMD Ryzen 3 5300U,10157,https://www.solotodo.cl/notebooks?processors=1411926
72,AMD Ryzen 3 PRO 4450U,10097,https://www.solotodo.cl/notebooks?processors=1336890
73,Intel Core i7-10710U,9969,https://www.solotodo.cl/notebooks?processors=1044417
74,Intel Core i5-1038NG7,9907,https://www.solotodo.cl/notebooks?processors=1192254
