id,name,type,frosting,liters refrigerator,liters frezzer,efficiency,Kwh/month,url,price,diff price,19/11/21,20/11/21,22/11/21,23/11/21,24/11/21,25/11/21,26/11/21
90956,Teka RBF-78720 GBK,bottom freezer,No Frost,330,128,A+,31.92,https://www.solotodo.cl/products/90956-teka-rbf-78720-gbk,869990,,,,869990.0,,,,
90843,Teka RBF-78720 SS,bottom freezer,No Frost,330,128,A+,31.92,https://www.solotodo.cl/products/90843-teka-rbf-78720-ss,799990,0.0,799990.0,799990.0,799990.0,799990.0,,,799990.0
124533,Samsung RT48A6640S9,top freezer,No Frost,346,111,A+,28.6,https://www.solotodo.cl/products/124533-samsung-rt48a6640s9,699990,,,,,,699990.0,699990.0,
79605,Whirlpool WRM57AKDWC,top freezer,No Frost,396,104,A+,30.53,https://www.solotodo.cl/products/79605-whirlpool-wrm57akdwc,699900,0.0,699900.0,699900.0,699900.0,699900.0,699900.0,699900.0,699900.0
91766,Bosch KGN56LBF0N,bottom freezer,No Frost,400,105,A++,24,https://www.solotodo.cl/products/91766-bosch-kgn56lbf0n,689990,0.0,689990.0,689990.0,689990.0,689990.0,689990.0,689990.0,689990.0
124534,Samsung RT44A6540S9,top freezer,No Frost,308,111,A+,27.12,https://www.solotodo.cl/products/124534-samsung-rt44a6540s9,639990,,,,,,639990.0,639990.0,
119742,Samsung RT48A6640B1,top freezer,No Frost,346,111,A+,Desconocido,https://www.solotodo.cl/products/119742-samsung-rt48a6640b1,626657,46666.33333333337,719990.0,719990.0,,579991.0,579991.0,579991.0,579991.0
117632,Bosch KGN56XIDP,bottom freezer,No Frost,400,108,A++,17.5,https://www.solotodo.cl/products/117632-bosch-kgn56xidp,619990,0.0,619990.0,619990.0,619990.0,619990.0,619990.0,619990.0,619990.0
36709,Samsung RL4363SBABS/ZS,bottom freezer,No Frost,300,132,A+,25,https://www.solotodo.cl/products/36709-samsung-rl4363sbabszs,607132,257142.85714285716,649990.0,649990.0,649990.0,649990.0,649990.0,649990.0,349990.0
67376,Sindelen RDNF-4000IN,top freezer,No Frost,295,104,A+,25.3,https://www.solotodo.cl/products/67376-sindelen-rdnf-4000in,569990,0.0,569990.0,569990.0,569990.0,569990.0,569990.0,569990.0,569990.0
39026,Winia RGE-X49DF,top freezer,No Frost,353,115,A,30.9,https://www.solotodo.cl/products/39026-winia-rge-x49df,569990,0.0,569990.0,569990.0,569990.0,569990.0,569990.0,569990.0,569990.0
61988,LG LT44AGP,top freezer,No Frost,328,117,A+,30,https://www.solotodo.cl/products/61988-lg-lt44agp,559990,0.0,559990.0,559990.0,559990.0,559990.0,559990.0,559990.0,559990.0
102401,Samsung RB38T636DB1/ZS,bottom freezer,No Frost,264,112,A++,20.1,https://www.solotodo.cl/products/102401-samsung-rb38t636db1zs,552847,2857.1428571428405,549990.0,549990.0,549990.0,569990.0,549990.0,549990.0,549990.0
36565,Samsung RT46K6631BS,top freezer,No Frost,341,111,A+,26.3,https://www.solotodo.cl/products/36565-samsung-rt46k6631bs,539990,0.0,539990.0,539990.0,539990.0,539990.0,539990.0,539990.0,539990.0
76560,Samsung RL4003SBAS8,bottom freezer,No Frost,300,102,A+,23.5,https://www.solotodo.cl/products/76560-samsung-rl4003sbas8,514275,14285.71428571426,519990.0,519990.0,519990.0,519990.0,519990.0,499990.0,499990.0
37556,LG LT44SGP,top freezer,No Frost,321,117,A+,23.85,https://www.solotodo.cl/products/37556-lg-lt44sgp,514275,14285.71428571426,549990.0,549990.0,499990.0,499990.0,499990.0,499990.0,499990.0
24860,Samsung RT46K6631SL,top freezer,No Frost,341,111,A+,26.3,https://www.solotodo.cl/products/24860-samsung-rt46k6631sl,503650,0.0,503650.0,503650.0,503650.0,503650.0,503650.0,503650.0,503650.0
26311,Samsung RT43K6231SL/ZS,top freezer,No Frost,329,111,A+,23.9,https://www.solotodo.cl/products/26311-samsung-rt43k6231slzs,499990,0.0,499990.0,499990.0,499990.0,499990.0,499990.0,499990.0,499990.0
101721,Samsung RB36T602FB1/ZS,bottom freezer,No Frost,262,98,A+,Desconocido,https://www.solotodo.cl/products/101721-samsung-rb36t602fb1zs,493561,8571.42857142858,494990.0,494990.0,494990.0,494990.0,494990.0,494990.0,484990.0
