id,name,type,power,washing capacity,drying capacity,door position,url,price,diff price,28/11/21
65683,Samsung WD10M44733W,Lavadora y Secadora,Desconocido,10.5 kg.,6 kg.,Frontal,https://www.solotodo.cl/products/65683-samsung-wd10m44733w,364990,0,364990
112835,Midea MF100D110B/T,Lavadora y Secadora,Desconocido,11 kg.,8 kg.,Frontal,https://www.solotodo.cl/products/112835-midea-mf100d110bt,349990,0,349990
117980,Samsung WD95T4046CX,Lavadora y Secadora,Desconocido,9.5 kg.,6 kg.,Frontal,https://www.solotodo.cl/products/117980-samsung-wd95t4046cx,349990,0,349990
122273,Whirlpool WCF10BF25Z,Lavadora y Secadora,1600 W.,10.5 kg.,7 kg.,Frontal,https://www.solotodo.cl/products/122273-whirlpool-wcf10bf25z,349900,0,349900
117849,Samsung WD95T4046CE,Lavadora y Secadora,1400 W.,9.5 kg.,6 kg.,Frontal,https://www.solotodo.cl/products/117849-samsung-wd95t4046ce,329990,0,329990
68632,Fensa Perfect 11WD,Lavadora y Secadora,Desconocido,11 kg.,7 kg.,Frontal,https://www.solotodo.cl/products/68632-fensa-perfect-11wd,329990,0,329990
76830,Midea MLSF-1108BN05N,Lavadora y Secadora,Desconocido,11 kg.,8 kg.,Frontal,https://www.solotodo.cl/products/76830-midea-mlsf-1108bn05n,319990,0,319990
81851,Galanz GLCWT610WEI14A,Lavadora y Secadora,1850 W.,10 kg.,6 kg.,Frontal,https://www.solotodo.cl/products/81851-galanz-glcwt610wei14a,319990,0,319990
100190,Candy CSOW4855TW,Lavadora y Secadora,1600 W.,8 kg.,5 kg.,Frontal,https://www.solotodo.cl/products/100190-candy-csow4855tw,299990,0,299990
68633,Fensa Perfect 8WD,Lavadora y Secadora,Desconocido,8 kg.,5 kg.,Frontal,https://www.solotodo.cl/products/68633-fensa-perfect-8wd,299990,0,299990
48360,Samsung WD90M4453JW/ZS,Lavadora y Secadora,Desconocido,9 kg.,N/A,Frontal,https://www.solotodo.cl/products/48360-samsung-wd90m4453jwzs,299990,0,299990
51327,Winia DWC-K9630W,Lavadora y Secadora,Desconocido,9 kg.,6 kg.,Frontal,https://www.solotodo.cl/products/51327-winia-dwc-k9630w,299990,0,299990
51082,Winia DWC-K9650X,Lavadora y Secadora,Desconocido,9 kg.,N/A,Frontal,https://www.solotodo.cl/products/51082-winia-dwc-k9650x,299990,0,299990
79588,Candy CSOW4965,Lavadora y Secadora,1600 W.,9 kg.,6 kg.,Frontal,https://www.solotodo.cl/products/79588-candy-csow4965,239990,0,239990
