id,name,type,power,washing capacity,drying capacity,door position,url,price,today,diff price,diff percent,28/11/21,29/11/21,30/11/21,01/12/21,02/12/21,03/12/21,05/12/21,06/12/21,07/12/21,08/12/21,09/12/21,10/12/21,11/12/21,12/12/21,13/12/21,14/12/21,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,27/12/21,28/12/21,29/12/21,30/12/21,31/12/21,02/01/22,03/01/22,04/01/22,05/01/22,06/01/22,07/01/22,08/01/22,09/01/22,10/01/22,11/01/22,12/01/22,13/01/22,14/01/22,15/01/22,16/01/22,17/01/22,18/01/22,19/01/22,20/01/22,21/01/22,24/01/22,25/01/22,26/01/22,27/01/22,28/01/22,29/01/22,31/01/22,01/02/22,02/02/22,03/02/22,04/02/22,05/02/22,06/02/22,07/02/22,08/02/22,09/02/22,10/02/22,11/02/22,13/02/22,15/02/22,16/02/22,17/02/22,18/02/22,20/02/22,21/02/22,22/02/22,23/02/22,24/02/22,25/02/22,26/02/22,27/02/22,28/02/22,01/03/22,02/03/22,03/03/22,05/03/22,06/03/22,07/03/22,08/03/22,10/03/22,11/03/22,12/03/22,13/03/22,14/03/22,15/03/22,16/03/22,17/03/22,18/03/22,20/03/22,21/03/22,22/03/22,23/03/22,24/03/22,25/03/22,27/03/22,28/03/22,29/03/22,30/03/22,31/03/22,01/04/22,04/04/22,05/04/22,06/04/22,08/04/22,09/04/22,11/04/22,12/04/22,13/04/22,18/04/22,19/04/22,20/04/22,21/04/22,22/04/22,23/04/22,24/04/22,25/04/22,26/04/22,27/04/22,28/04/22,29/04/22,30/04/22,01/05/22,02/05/22,03/05/22,04/05/22,05/05/22,06/05/22,09/05/22,10/05/22,11/05/22,12/05/22,13/05/22,16/05/22,17/05/22,18/05/22,19/05/22,20/05/22,23/05/22
79588,Candy CSOW4965,Lavadora y Secadora,1600 W.,9 kg.,6 kg.,Frontal,https://www.solotodo.cl/products/79588-candy-csow4965,293409,279990,-13419,5,239990,239990,239990,239990,239990,239990,289990,289990,289990,289990,289990,289990,289990,289990,289990,269990,269990,269990,269990,269990,269990,269990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,319990,319990,319990,319990,287990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,279990,279990,279990,279990,279990,279990,279990,299990,299990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,299990,269990,299990,299990,299990,299990,287990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,319990,319990,319990,319990,319990,319990,319990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990
53753,Ursus Trotter WDMI-10-7K15P,Lavadora y Secadora,Desconocido,10 kg.,,Frontal,https://www.solotodo.cl/products/53753-ursus-trotter-wdmi-10-7k15p,636652,609990,-26662,4,579990,579990,579990,579990,579990,579990,709990,709990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,709990,709990,709990,699990,699990,699990,639990,639990,639990,639990,639990,639990,639990,649990,699990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,649990,649990,699990,699990,699990,699990,649990,649990,699990,699990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,779990,645990,645990,645990,580990,645990,645990,645990,645990,580990,645990,645990,645990,645990,645990,645990,619990,619990,645990,645990,645990,579990,579990,579990,579990,579990,579990,579990,645990,645990,645990,609990,609990,609990,609990,609990,609990,609990,609990,609990,609990,609990,609990
76830,Midea MLSF-1108BN05N,Lavadora y Secadora,Desconocido,11 kg.,8 kg.,Frontal,https://www.solotodo.cl/products/76830-midea-mlsf-1108bn05n,299045,289990,-9055,3,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,309990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,319990,319990,319990,319990,319990,319990,319990,329990,329990,329990,329990,329990,329990,329990,329990,319990,319990,319990,319990,279990,279990,279990,279990,279990,299990,299990,299990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,299990,299990,299990,289990,269990,269990,289990,289990,289990,289990,289990,299990,299990,299990,299990,289990,289990,289990,289990,289990,289990,289990,289990,289990,299990,299990,299990,299990,299990,299990,287990,299990,299990,299990,289990,289990,289990,289990,289990,289990,289990,289990,299990,299990,299990,299990,299990,299990,289990,299990,299990,299990,299990,299990,299990,299990,299990,289990,289990,289990,309000,309000,309000,309000,309000,309000,309000,309000,289990
52489,Samsung WD12N64FR2W/ZS,Lavadora y Secadora,2400 W.,12 kg.,,Frontal,https://www.solotodo.cl/products/52489-samsung-wd12n64fr2wzs,502633,489990,-12643,3,507650,507650,507650,507650,507650,507650,507650,507650,507650,507650,507650,507650,507650,507650,507650,507650,439990,439990,439990,439990,489990,489990,489990,489990,507650,485250,485250,485250,369990,369990,507650,507650,507650,507650,507650,507650,507650,507650,507650,507650,507650,507650,479650,479650,479650,479650,479650,479650,479650,479650,479650,479650,479650,530000,530000,530000,530000,530000,530000,530000,530000,530000,530000,530000,530000,530000,530000,528890,528890,528890,528890,528890,528890,528890,528890,528890,528890,528890,528890,530000,530000,530000,530000,530000,539990,539990,539990,539990,539990,539990,539990,539990,539990,539990,539990,539990,539990,539990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990
117291,Candy ROW41494DW,Lavadora y Secadora,1400 W.,14 kg.,9 kg.,Frontal,https://www.solotodo.cl/products/117291-candy-row41494dw,448537,439990,-8547,2,449990,449990,449990,449990,449990,449990,499990,499990,499990,499990,499990,499990,499990,499990,499990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,499990,499990,499990,499990,499990,499990,499990,499990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,389990,389990,389990,389990,389990,389990,389990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,439990,439990,439990,404990,439990,439990,439990,439990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,439990,439990,439990,439990,439990,439990,439990,439990,439990,439990,439990,439990,439990
118342,LG WD14TP04DSX,Lavadora y Secadora,Desconocido,14 kg.,9 kg.,Frontal,https://www.solotodo.cl/products/118342-lg-wd14tp04dsx,675767,669990,-5777,1,678990,678990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699990,699990,699990,699990,699990,699990,699990,749990,749990,749990,749990,749990,749990,749990,699990,699990,699990,699990,630490,630490,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,669990,669990,669990,647990,669990,669990,669990,689990,620990,689990,689990,689990,689990,679990,679990,689990,659990,659990,659990,659990,659990,659990,689990,669990,689990,689990,689990,679990,669990,669990,599990,599990,599990,599990,599990,599990,665991,665991,664990,669990,669990,669990
51327,Winia DWC-K9630W,Lavadora y Secadora,Desconocido,9 kg.,6 kg.,Frontal,https://www.solotodo.cl/products/51327-winia-dwc-k9630w,311828,309990,-1838,1,299990,299990,279990,279990,279990,279990,339990,339990,339990,339990,349990,339990,339990,339990,339990,339990,339990,329990,319990,319990,319990,319990,319990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,289990,243990,243990,243990,243990,243990,243990,289990,243990,243990,243990,289990,299990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,319990,319990,289990,309990,309990,309990,309990,309990,289990,289990,289990,289990,289990,289990,289990,289990,289990,319990,329990,329990,349990,349990,349990,319990,349990,349990,349990,349990,349990,349990,349990,349990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,329990,299990,299990,299990,299990,299990,279990,279990,279990,279990,279990,329990,329990,329990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,329990,329990,299990,299990,299990,329990,332991,332991,329990,329990,309990,309990
140564,Bosch WDU8H421ES,Lavadora y Secadora,1400 W.,10 kg.,6 kg.,Frontal,https://www.solotodo.cl/products/140564-bosch-wdu8h421es,699990,699990,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699990,699990,699990
80426,Ursus Trotter WMDI-10K/7K-15P,Lavadora y Secadora,2000 W.,10 kg.,7 kg.,Frontal,https://www.solotodo.cl/products/80426-ursus-trotter-wmdi-10k7k-15p,644470,645990,1520,-0,699990,699990,699990,699990,699990,699990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,510990,510990,510990,529990,529990,529990,529990,529990,649990,649990,649990,649990,649990,649990,649990,749990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990,645990
132095,Bosch WKD24362ES,Lavadora y Secadora,Desconocido,7 kg.,4 kg.,Frontal,https://www.solotodo.cl/products/132095-bosch-wkd24362es,713279,719990,6711,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,719990,719990,719990,719990,719990,719990,719990,719990,719990,719990,719990,719990,719990,719990,719990,719990,719990,719990,719990,719990
