id,name,price,today,diff price,diff percent,url,capacity,frecuency,volts,type,format,08/12/21,09/12/21,10/12/21,11/12/21,12/12/21,13/12/21,14/12/21,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,27/12/21,28/12/21,29/12/21,30/12/21,31/12/21,02/01/22,03/01/22,04/01/22,05/01/22,06/01/22,07/01/22,08/01/22,09/01/22,10/01/22,11/01/22,12/01/22,13/01/22,14/01/22,15/01/22,16/01/22,17/01/22,18/01/22,19/01/22,20/01/22,21/01/22,24/01/22,25/01/22,26/01/22,27/01/22,28/01/22,29/01/22,31/01/22,01/02/22,02/02/22,03/02/22,04/02/22,05/02/22
128176,Team T-Force Zeus MTZD416G3200HC16F-S01 (1 x 16GB | SO-DIMM DDR4-3200),89000,89000,0,0,https://www.solotodo.cl/products/128176-team-t-force-zeus-mtzd416g3200hc16f-s01-1-x-16gb-so-dimm-ddr4-3200,1 x 16GB,3200 MHz,1.35 V,DDR4,SO-DIMM,,,,,,,,,,,,,,,,,,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000,89000
124941,Patriot Signature Line PSD48G320081S (1 x 8GB | SO-DIMM DDR4-3200),32809,32900,91,-0,https://www.solotodo.cl/products/124941-patriot-signature-line-psd48g320081s-1-x-8gb-so-dimm-ddr4-3200,1 x 8GB,3200 MHz,1.20 V,DDR4,SO-DIMM,31900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900
117430,Kingston Fury Impact KF432S20IB/8 (1 x 8GB | SO-DIMM DDR4-3200),41327,41580,253,-1,https://www.solotodo.cl/products/117430-kingston-fury-impact-kf432s20ib8-1-x-8gb-so-dimm-ddr4-3200,1 x 8GB,3200 MHz,1.20 V,DDR4,SO-DIMM,40300,40300,40300,40300,40300,40300,40900,40900,40900,40900,41700,41826,41826,41900,41900,41900,41900,41900,42550,41900,41900,41900,41900,41900,41900,37040,41890,41890,41890,41880,41880,41890,37040,37040,41890,41890,41890,41239,41239,41890,41890,41890,41890,41890,41890,41890,41890,41890,41890,41890,41590,41580,41580,41580
73923,G.Skill Ripjaws F4-3200C18S-16GRS (1 x 16GB | SO-DIMM DDR4-3200),116877,118990,2113,-2,https://www.solotodo.cl/products/73923-gskill-ripjaws-f4-3200c18s-16grs-1-x-16gb-so-dimm-ddr4-3200,1 x 16GB,3200 MHz,1.20 V,DDR4,SO-DIMM,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,135990,135990,135990,135990,135990,135990,135990,135990,135990,135990,135990,135990,135990,135990,135990,135990,135990,135990,118990,118990,118990,118990,118990,118990,118990,118990,118990,118990,118990,118990,118990,118990
57936,G.Skill Ripjaws F4-3000C16S-8GRS (1 x 8GB | SO-DIMM DDR4-3000),58443,59990,1547,-3,https://www.solotodo.cl/products/57936-gskill-ripjaws-f4-3000c16s-8grs-1-x-8gb-so-dimm-ddr4-3000,1 x 8GB,3000 MHz,1.20 V,DDR4,SO-DIMM,52990,52990,52990,52990,52990,52990,52990,52990,52990,52990,52990,52990,52990,52990,52990,52990,52990,52990,52990,52990,52990,52990,63990,63990,63990,63990,63990,63990,63990,63990,63990,63990,63990,63990,63990,63990,63990,63990,63990,63990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990
114938,Lexar LD4AS016G-B3200GSST (1 x 16GB | SO-DIMM DDR4-3200),90839,94990,4151,-5,https://www.solotodo.cl/products/114938-lexar-ld4as016g-b3200gsst-1-x-16gb-so-dimm-ddr4-3200,1 x 16GB,3200 MHz,1.20 V,DDR4,SO-DIMM,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,94990,94990,94990,94990,94990
80961,Crucial CT32G4SFD832A (1 x 32GB | SO-DIMM DDR4-3200),159786,168990,9204,-6,https://www.solotodo.cl/products/80961-crucial-ct32g4sfd832a-1-x-32gb-so-dimm-ddr4-3200,1 x 32GB,3200 MHz,1.20 V,DDR4,SO-DIMM,149750,149750,149750,149750,149750,149750,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,152000,169376,169376,169376,169376,169376,169376,169376,169376,169376,169376,169376,169376,169376,169376,149590,142890,142880,169376,169376,168990,168990,168788,168788,168788,168788,168788,168949,168949,168949,168990
90988,Kingston KCP432SS6/8 (1 x 8GB | SO-DIMM DDR4-3200),51858,57144,5286,-10,https://www.solotodo.cl/products/90988-kingston-kcp432ss68-1-x-8gb-so-dimm-ddr4-3200,1 x 8GB,3200 MHz,1.20 V,DDR4,SO-DIMM,42490,42490,42490,42490,42490,42490,52990,52990,52990,52990,52990,52990,52990,52990,52990,52990,52990,52990,52990,52990,51313,51313,51313,51313,51313,51313,51313,51313,49272,49272,49272,50147,50147,52990,52990,52990,52990,52990,52990,52990,52990,52990,52990,52990,,57144,57144,58310,57144,57144,57144,57144,57144,57144
117432,Kingston Fury Impact KF432S20IB1/16 (1 x 16GB | SO-DIMM DDR4-3200),85296,94090,8794,-10,https://www.solotodo.cl/products/117432-kingston-fury-impact-kf432s20ib116-1-x-16gb-so-dimm-ddr4-3200,1 x 16GB,3200 MHz,1.20 V,DDR4,SO-DIMM,81990,115869,99990,99990,99990,99990,98757,89990,89990,89990,87552,82415,82365,82365,82365,82415,82415,85330,84940,84590,84590,85882,86370,86370,85932,85592,85540,86940,80971,80920,80920,80920,82360,82360,82431,81440,81440,81096,80629,80610,81837,79356,78320,78320,78320,79740,79437,79420,80440,79800,79890,85100,94090,94090
86034,Crucial CT8G4SFRA32A (1 x 8GB | SO-DIMM DDR4-3200),42540,47287,4747,-11,https://www.solotodo.cl/products/86034-crucial-ct8g4sfra32a-1-x-8gb-so-dimm-ddr4-3200,1 x 8GB,3200 MHz,1.20 V,DDR4,SO-DIMM,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39140,39150,39150,44990,44990,43600,43390,44990,44990,44990,42990,42990,42990,41800,41800,41790,41790,41166,41166,41176,41176,41790,41790,41790,41790,41790,41790,41790,41790,47371,43168,47371,41586,41586,47153,47153,47153,40400,47153,47153,47287,47287,47287,47287
