id,name,price,today,diff price,diff percent,url,capacity,bus,format,08/12/21,09/12/21,10/12/21,11/12/21,12/12/21,13/12/21,14/12/21,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,27/12/21,28/12/21,29/12/21,30/12/21,31/12/21,02/01/22,03/01/22,04/01/22,05/01/22,06/01/22,07/01/22,08/01/22,09/01/22,10/01/22,11/01/22,12/01/22,13/01/22,14/01/22,15/01/22,16/01/22,17/01/22,18/01/22,19/01/22,20/01/22,21/01/22,24/01/22,25/01/22,26/01/22,27/01/22,28/01/22,29/01/22,31/01/22,01/02/22,02/02/22,03/02/22,04/02/22,05/02/22,06/02/22,07/02/22,08/02/22,09/02/22,10/02/22,11/02/22,13/02/22,15/02/22,16/02/22,17/02/22,18/02/22,20/02/22,21/02/22,22/02/22,23/02/22,24/02/22,25/02/22,26/02/22,27/02/22,28/02/22,01/03/22,02/03/22,03/03/22,05/03/22,06/03/22,07/03/22,08/03/22,10/03/22,11/03/22,12/03/22,13/03/22,14/03/22,15/03/22,16/03/22,17/03/22,18/03/22,20/03/22,21/03/22,22/03/22,23/03/22,24/03/22,25/03/22,27/03/22,28/03/22,29/03/22,30/03/22,31/03/22,01/04/22,04/04/22,05/04/22,06/04/22,08/04/22,09/04/22,11/04/22,12/04/22,13/04/22,18/04/22,19/04/22,20/04/22,21/04/22,22/04/22,23/04/22,24/04/22,25/04/22,26/04/22,27/04/22,28/04/22,29/04/22,30/04/22,01/05/22,02/05/22,03/05/22,04/05/22,05/05/22,06/05/22,09/05/22,10/05/22,11/05/22,12/05/22,13/05/22,16/05/22,17/05/22,18/05/22,19/05/22,20/05/22,23/05/22
88314,Gigabyte AORUS Gen4 500 GB (GP-AG4500G),96813,87272,-9541,10,https://www.solotodo.cl/products/88314-gigabyte-aorus-gen4-500-gb-gp-ag4500g,500 GB,PCI Express 4.0,M.2,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,96080,96080,99266,96080,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99266,99200,99200,99200,99200,99200,99200,99200,99200,99200,99200,99200,99200,99200,99200,99266,99266,99266,99266,99266,99200,99200,99200,99200,99200,99266,99266,99266,99266,99266,99090,99090,99090,99000,99000,99000,99000,99000,99000,99000,98221,98221,98221,98000,98000,98000,98000,98000,98000,98000,97510,97510,97510,97510,97510,94990,94990,94990,94990,94990,94990,94990,94990,94990,91190,91190,91190,91190,91190,91190,91190,91190,87272,87272,87272,87272,87272,87272,87272,87272,87272,87272,87272,87272,87272,87272,87272,87272,87272,87272
127048,Kingston FURY Renegade 1 TB (SFYRS/1000G),202340,183160,-19180,9,https://www.solotodo.cl/products/127048-kingston-fury-renegade-1-tb-sfyrs1000g,1 TB,PCI Express 4.0,M.2,,,234990,234990,234990,234990,234990,234990,234990,234990,234990,234990,234990,234990,234990,234990,234990,234990,,,,,,,,,,,,,,,,,,,,,,,,,234990,234990,234990,234990,234990,,,,,249990,249990,249990,249990,249990,249990,203318,200030,198240,194580,194755,194740,194502,189890,189870,189870,189870,189890,189890,189890,249990,249990,249990,249990,249990,249990,196594,196570,197760,197990,183814,179126,179568,179550,179550,178683,178660,181562,176383,174989,174989,175850,175236,173934,174227,173601,173601,171954,171954,173706,171600,171600,172897,172026,175630,177500,177500,188366,190178,187961,187961,188724,186980,186526,186980,188902,188902,190537,194716,194061,193735,196040,194716,194716,187097,189103,188030,188010,188189,188170,191470,190588,189284,186880,186880,186880,186880,184990,183160
129263,Samsung 980 Pro 1 TB (MZ-V8P1T0CW),215162,194900,-20262,9,https://www.solotodo.cl/products/129263-samsung-980-pro-1-tb-mz-v8p1t0cw,1 TB,PCI Express 4.0,M.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262990,262990,262990,262990,254990,254990,254990,,,243990,243990,243990,243990,243990,243990,243990,243990,243990,243990,243990,243990,209990,209990,209990,209990,214990,,,,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,,,,,199900,199900,199900,199900,199900,199900,199900,199900,199900,199900,199900,199900,199900,199900,199900,199900,194900,194900,194900,194900,194900,194900,194900,194900,194900,194900,194900,194900,194900,194900,194900,194900,194900,194900,194900,194900
51557,Intel 660P 512 GB (SSDPEKNW512G8X1),63051,57206,-5845,9,https://www.solotodo.cl/products/51557-intel-660p-512-gb-ssdpeknw512g8x1,512 GB,PCI Express 3.0,M.2,59900,59900,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,67400,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,,,,53990,52896,52880,50737,50464,50178,50100,49748,49738,49500,49248,49173,49100,49100,49090,49000,48990,48990,48990,51463,51072,50872,50862,50862,51069,50954,51069,51069,51670,51670,51780,51780,51780,51780,51790,51790,51790,51790,51790,51790,51790,57990,57990,57980,57980,57980,57980,57980,57980,58327,57206
112698,Team MP33 1 TB (TM8FP6001TDC101),109064,99900,-9164,8,https://www.solotodo.cl/products/112698-team-mp33-1-tb-tm8fp6001tdc101,1 TB,PCI Express 3.0,M.2,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,119500,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99890,99890,99890,99890,99890,99890,99890,99890,99890,99890,99890,99890,99890,99890,99890,99890,99890,99890,99890,99890,99890,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900
126918,Kingston FURY Renegade 500 GB (SFYRS/500G),126107,116407,-9700,8,https://www.solotodo.cl/products/126918-kingston-fury-renegade-500-gb-sfyrs500g,500 GB,PCI Express 4.0,M.2,,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,144990,,,,,144990,144990,144990,144990,144990,144990,124240,122174,121080,144970,144970,144970,31107,138970,138970,138970,138970,138970,138970,138970,138970,138970,138970,138970,138990,138990,120072,120050,120920,120920,115029,113929,112900,112880,112880,112642,112620,112900,110283,109493,112620,112390,109684,108861,108927,108584,108584,107640,107640,108731,107390,107390,108197,107650,109795,99900,99900,99900,99900,110100,110100,110100,110100,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,99900,121127,120299,120196,120186,119684,118775,118675,116407
33911,A-DATA Ultimate SU800 512 GB (ASU800SS-512GT-C),91637,84990,-6647,7,https://www.solotodo.cl/products/33911-a-data-ultimate-su800-512-gb-asu800ss-512gt-c,512 GB,SATA 3 (6.0 Gb/s),"2.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59900,59900,59900,61890,61890,61890,61890,61890,61890,61890,61890,61890,69989,69989,69989,69989,69989,69989,70990,70990,70990,70990,70990,70990,70990,70990,70990,70990,70990,70990,63989,70990,70990,70990,70990,70990,70990,70990,70990,70990,70990,1072990,84990,84990
55890,A-DATA XPG SX8200 Pro 512 GB (ASX8200PNP-512GT-C),64465,59990,-4475,7,https://www.solotodo.cl/products/55890-a-data-xpg-sx8200-pro-512-gb-asx8200pnp-512gt-c,512 GB,PCI Express 3.0,M.2,63175,63175,63175,63175,63175,63175,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000,62950,62950,62540,62540,62540,62540,62540,62540,62290,61990,61940,61940,61900,61900,60378,60305,60450,60017,59656,59656,59656,59152,59656,59583,59008,58430,57998,61490,61490,61490,65900,65900,65900,65900,65900,65880,65880,65880,65880,65880,65880,65812,65790,65790,65790,67680,67700,67700,67700,67700,67680,67680,67680,67680,67680,67680,67680,67680,67700,67700,61900,67700,67700,67700,67700,67700,67700,67700,67700,67700,67700,63990,67700,67700,67700,67700,67700,67700,67700,64300,64300,64300,64300,64300,64300,64290,64290,64290,64290,64290,64290,64300,64300,64300,67800,67800,67800,67800,67800,67800,67800,67800,67800,67800,67800,67800,67800,67800,67800,67800,67800,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990
104806,Samsung 980 Pro 1 TB (MZ-V8P1T0B/AM),203879,189900,-13979,7,https://www.solotodo.cl/products/104806-samsung-980-pro-1-tb-mz-v8p1t0bam,1 TB,PCI Express 4.0,M.2,220990,220990,220990,220990,220990,220990,219900,209900,209900,209900,209900,209900,209900,209900,234990,234990,234990,229990,229990,229990,229990,229990,229990,229990,229990,219990,219990,219990,219990,219990,219990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,199990,219990,199990,194990,194990,199990,199990,199990,189990,189990,189990,189990,199900,199900,199900,199900,199900,199900,199900,199900,199900,199900,199900,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199900,199900,199900,199900,199900,199900,199900,199900,199900,199900,199900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,189900,189900,189900,189900,189900,189900,189900,189900,189900
118835,Gigabyte AORUS Gen4 7000s 2 TB (GP-AG70S2TB),459863,429000,-30863,7,https://www.solotodo.cl/products/118835-gigabyte-aorus-gen4-7000s-2-tb-gp-ag70s2tb,2 TB,PCI Express 4.0,M.2,529000,529000,529000,469900,469900,469900,469900,469900,469900,469900,469900,469900,469900,469900,469900,469900,529000,529000,529000,529000,529000,529000,529000,529000,529000,507990,507990,507990,507990,507990,507990,507990,507990,507990,507990,507990,507990,507990,507990,507990,507990,507990,507990,507990,507990,507990,507990,507990,507990,485990,469920,469920,467090,469500,469500,469500,469500,469500,469500,452990,449900,444790,444790,420990,420990,444790,444790,449900,449340,441490,438990,438900,438900,438900,438900,438900,438900,424992,424992,424992,428640,431072,426816,438990,438990,438990,438990,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000,429000
