id,name,type,frosting,liters refrigerator,liters frezzer,efficiency,Kwh/month,url,price,today,diff price,diff percent,19/11/21,20/11/21,22/11/21,23/11/21,24/11/21,25/11/21,26/11/21,28/11/21,29/11/21,30/11/21,01/12/21,02/12/21,03/12/21,05/12/21,06/12/21,07/12/21,08/12/21,09/12/21,10/12/21,11/12/21,12/12/21,13/12/21,14/12/21,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,27/12/21,28/12/21,29/12/21,30/12/21,31/12/21,02/01/22,03/01/22,04/01/22,05/01/22,06/01/22,07/01/22,08/01/22,09/01/22,10/01/22,11/01/22
90956,Teka RBF-78720 GBK,bottom freezer,No Frost,330,128,A+,31.92,https://www.solotodo.cl/products/90956-teka-rbf-78720-gbk,875112,849990,-25122,3,,,869990,,,,,869990,869990,869990,869990,869990,869990,869990,869990,869990,869990,869990,869990,809990,809990,869990,869990,869990,869990,869990,869990,869990,869990,869990,869990,869990,869990,869990,869990,869990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,849990
124398,Mabe RMP400FHUG1,top freezer,No Frost,287,103,A+,27,https://www.solotodo.cl/products/124398-mabe-rmp400fhug1,370203,359990,-10213,3,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,389990,389990,389990,369990,369990,369990,369990,369990,359990,359990,359990,359990,359990,359990
91766,Bosch KGN56LBF0N,bottom freezer,No Frost,400,105,A++,24,https://www.solotodo.cl/products/91766-bosch-kgn56lbf0n,677847,659990,-17857,3,689990,689990,689990,689990,689990,689990,689990,659990,659990,659990,,,,689990,689990,689990,689990,689990,789990,689990,,,689990,689990,689990,669990,669990,669990,689990,669990,669990,669990,669990,669990,669990,669990,669990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990
52580,Mademsa Altus 1430W,top freezer,No Frost,330,95,A+,29.1,https://www.solotodo.cl/products/52580-mademsa-altus-1430w,421011,409990,-11021,3,429990,429990,429990,429990,429990,429990,429990,429990,429990,419990,419990,419990,419990,429990,429990,429990,419990,419990,419990,377990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,409990,409990,409990,409990
63228,Fensa Advantage 5700E,top freezer,No Frost,329,102,A+,29.59,https://www.solotodo.cl/products/63228-fensa-advantage-5700e,479352,469990,-9362,2,469990,469990,469990,469990,469990,469990,459990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,529990,529990,529990,529990,499990,499990,499990,499990,499990,499990,499990,469990,469990,469990,469990,469990,469990,459990,459990,459990,459990,459990,459990,529990,469990,469990,469990,469990
90843,Teka RBF-78720 SS,bottom freezer,No Frost,330,128,A+,31.92,https://www.solotodo.cl/products/90843-teka-rbf-78720-ss,791234,779990,-11244,1,799990,799990,799990,799990,,,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,737990,737990,769990,769990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,799990,799990,799990,779990
73196,Fensa DF56S,top freezer,No Frost,346,128,A+,33.69,https://www.solotodo.cl/products/73196-fensa-df56s,511015,504990,-6025,1,,,,,,,,559990,559990,508990,508990,508990,508990,508990,508990,508990,508990,508990,508990,508990,508990,508990,508990,508990,508990,508990,508990,508990,508990,508990,508990,508990,508990,508990,499990,508990,508990,508990,508990,508990,508990,508990,508990,508990,504990,504990,504990,504990
90870,Teka RBF-78720 GWH,bottom freezer,No Frost,330,128,A+,31.92,https://www.solotodo.cl/products/90870-teka-rbf-78720-gwh,856990,849990,-7000,1,,,,,,,,879990,879990,879990,879990,879990,879990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,949990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990
124396,Mabe RMP410FZUC,top freezer,No Frost,287,103,A+,27,https://www.solotodo.cl/products/124396-mabe-rmp410fzuc,479139,479990,851,-0,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,489990,489990,489990,489990,489990,489990,449990,449990,449990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,489990,479990,479990,479990,479990,479990,479990,479990,469990,469990,469990,479990
65346,Maigas HD-463FWEN,top freezer,No Frost,255,85,A+,25.47,https://www.solotodo.cl/products/65346-maigas-hd-463fwen,329139,329990,851,-0,349990,349990,349990,349990,349990,349990,349990,299990,299990,299990,299990,299990,299990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990
51597,Mabe RMP400FZUC,top freezer,No Frost,287,103,A+,27,https://www.solotodo.cl/products/51597-mabe-rmp400fzuc,408054,409990,1936,-0,389990,389990,389990,389990,389990,389990,389990,419990,419990,419990,419990,419990,419990,409990,409990,409990,409990,409990,409990,368990,409990,409990,409990,409990,409990,409990,409990,409990,409990,409990,409990,409990,409990,409990,409990,409990,409990,409990,409990,439990,409990,409990,409990,409990,409990,409990,409990,409990
37556,LG LT44SGP,top freezer,No Frost,321,117,A+,23.85,https://www.solotodo.cl/products/37556-lg-lt44sgp,525096,529990,4894,-1,549990,549990,499990,499990,499990,499990,499990,499990,499990,499990,499990,524990,524990,524990,524990,529990,529990,529990,529990,529990,529990,529990,529990,529990,529990,529990,529990,529990,529990,529990,529990,529990,529990,529990,529990,529990,539990,539990,529990,529990,529990,529990,529990,529990,529990,529990,529990,529990
101721,Samsung RB36T602FB1/ZS,bottom freezer,No Frost,262,98,A+,Desconocido,https://www.solotodo.cl/products/101721-samsung-rb36t602fb1zs,492607,499990,7383,-1,494990,494990,494990,494990,494990,494990,484990,484990,484990,494990,494990,494990,494990,494990,494990,479990,499990,479990,479990,458990,458990,479990,479990,479990,479990,479990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990
102401,Samsung RB38T636DB1/ZS,bottom freezer,No Frost,264,112,A++,20.1,https://www.solotodo.cl/products/102401-samsung-rb38t636db1zs,560373,574990,14617,-3,549990,549990,549990,569990,549990,549990,549990,559990,559990,569990,549990,549990,549990,549990,549990,534990,569990,534990,534990,503990,503990,534990,534990,534990,534990,579990,579990,579990,579990,549990,579990,579990,579990,579990,589990,579990,579990,579990,579990,579990,574990,574990,574990,574990,574990,574990,574990,574990
76560,Samsung RL4003SBAS8,bottom freezer,No Frost,300,102,A+,23.5,https://www.solotodo.cl/products/76560-samsung-rl4003sbas8,530202,549989,19787,-4,519990,519990,519990,519990,519990,499990,499990,499990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,529990,529990,529990,529990,529990,529990,529990,529990,529990,549989,549989,549989,519990,519990,549989,549989,549989,549989,549989,519990,549989,549989,549989,549989,549989,549989,549989,549989
51312,Mademsa Altus 1430,top freezer,No Frost,330,95,A+,29.1,https://www.solotodo.cl/products/51312-mademsa-altus-1430,397033,419990,22957,-6,429990,429990,429990,429990,429990,429990,429990,429990,429990,399990,399990,399990,399990,369990,369990,369990,389990,389990,389990,350990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,419990,419990,419990,419990,419990,419990
78584,Samsung RT38K50AJS8/ZS,top freezer,No Frost,298,87,A+,23.84,https://www.solotodo.cl/products/78584-samsung-rt38k50ajs8zs,386607,409990,23383,-6,379990,379990,379990,379990,379990,379990,379990,379990,379990,359990,359990,359990,359990,369990,369990,369990,369990,379990,379990,350990,379990,379990,379990,379990,379990,379990,389990,389990,389990,389990,409990,409990,379990,409990,409990,409990,409990,409990,409990,379990,379990,409990,409990,409990,409990,409990,409990,409990
119742,Samsung RT48A6640B1,top freezer,No Frost,346,111,A+,Desconocido,https://www.solotodo.cl/products/119742-samsung-rt48a6640b1,595860,639990,44130,-7,719990,719990,,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,579991,649990,649990,649990,639990,639990,639990,639990,639990
24574,Samsung RT35K5730SL,top freezer,No Frost,272,89,A+,23.42,https://www.solotodo.cl/products/24574-samsung-rt35k5730sl,396752,429990,33238,-8,417090,417090,417090,417090,417090,394750,389990,389990,389990,389990,389990,389990,389990,394750,394750,394750,394750,394750,394750,394750,394750,394750,394750,394750,394750,394750,394750,394750,394750,394750,394750,394750,394750,394750,394750,394750,394750,394750,394750,394750,394750,394750,394750,394750,399990,399990,399990,429990
69169,Midea MRFS-3560S463FW,top freezer,No Frost,253,84,A+,25.5,https://www.solotodo.cl/products/69169-midea-mrfs-3560s463fw,274692,299990,25298,-9,299990,299990,299990,299990,299990,299990,279990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,260990,259990,259990,259990,259990,259990,259990,259990,259990,259990,259990,259990,259990,259990,259990,259990,259990,259990,259990,289990,299990,299990,299990,299990,289990,289990,289990,289990,299990
36709,Samsung RL4363SBABS/ZS,bottom freezer,No Frost,300,132,A+,25,https://www.solotodo.cl/products/36709-samsung-rl4363sbabszs,659139,719990,60851,-9,649990,649990,649990,649990,649990,649990,349990,649990,649990,649990,649990,649990,649990,649990,649990,639990,649990,639990,639990,639990,639990,639990,639990,639990,639990,649990,649990,649990,649990,679990,679990,679990,679990,679990,679990,679990,679990,679990,679990,679990,679990,679990,679990,749990,749990,749990,749990,719990
79605,Whirlpool WRM57AKDWC,top freezer,No Frost,396,104,A+,30.53,https://www.solotodo.cl/products/79605-whirlpool-wrm57akdwc,709070,779990,70920,-10,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,629990,629990,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,749990,749990,749990,749990,749990,779990,779990,779990,779990,779990
79672,Whirlpool WRM45ABDWC,top freezer,No Frost,289,86,A,31.5,https://www.solotodo.cl/products/79672-whirlpool-wrm45abdwc,399581,487990,88409,-22,399900,399900,399900,399900,399900,399900,399900,399900,399900,399900,399900,399900,399900,399900,399900,399900,399900,399900,399900,359990,359990,399900,399900,399900,399900,399900,399900,399900,399900,399900,399900,399900,399900,399900,399900,399900,399900,399900,399990,399990,399990,399990,299990,299990,487990,487990,487990,487990
26311,Samsung RT43K6231SL/ZS,top freezer,No Frost,329,111,A+,23.9,https://www.solotodo.cl/products/26311-samsung-rt43k6231slzs,476400,,,,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,339990,299990,299990,299990,519990,,,,,,,499990,499990,499990,499990,499990,499990,499990,499990,319990,,,
24860,Samsung RT46K6631SL,top freezer,No Frost,341,111,A+,26.3,https://www.solotodo.cl/products/24860-samsung-rt46k6631sl,484934,,,,503650,503650,503650,503650,503650,503650,503650,503650,503650,499990,477700,477700,477700,477700,477700,599990,477700,477700,477700,477700,477700,477700,477700,477700,477700,359990,477700,477700,477700,477700,477700,477700,477700,477700,477700,477700,,,,,,,,,,,,
66395,Mabe RMP400FHUG,top freezer,No Frost,287,103,A+,27,https://www.solotodo.cl/products/66395-mabe-rmp400fhug,340546,,,,339990,339990,339990,339990,,,339990,339990,,,,,,,,,,,349990,314990,,,,,,,,,,,,359990,,,,,,,,,,,,,,,,
124400,Fensa DW44S + Hervidor Black360 HE420,top freezer,No Frost,288,112,A,33.8,https://www.solotodo.cl/products/124400-fensa-dw44s-hervidor-black360-he420,493886,,,,439990,439990,439990,439990,439990,439990,439990,439990,439990,439990,640980,640980,640980,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,,,,,,,,,,,,,,,,,,,
36565,Samsung RT46K6631BS,top freezer,No Frost,341,111,A+,26.3,https://www.solotodo.cl/products/36565-samsung-rt46k6631bs,518490,,,,539990,539990,539990,539990,539990,539990,539990,539990,539990,539990,539990,539990,539990,539990,,,,,,,,,479990,479990,479990,649990,359990,359990,,,,,,,,,,,,,,,,,,,,
127249,Teka RMF-77920 SS INOX,side by side,No Frost,438,184,A+,29.97,https://www.solotodo.cl/products/127249-teka-rmf-77920-ss-inox,1299990,,,,,,,,,,,,,,,,,,,,,,,,,,1299990,1299990,1299990,,,,,,,,,,,,,,,,,,,,,,,
