id,name,price,today,diff price,diff percent,btu,efficiency,inverter,url,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,27/12/21,28/12/21,29/12/21,30/12/21,31/12/21,02/01/22,03/01/22,04/01/22,05/01/22,06/01/22,07/01/22,08/01/22,09/01/22,10/01/22,11/01/22,12/01/22,13/01/22,14/01/22,15/01/22,16/01/22,17/01/22,18/01/22,19/01/22,20/01/22,21/01/22,24/01/22,25/01/22,26/01/22,27/01/22,28/01/22,29/01/22,31/01/22,01/02/22,02/02/22,03/02/22,04/02/22,05/02/22,06/02/22,07/02/22,08/02/22,09/02/22,10/02/22,11/02/22,13/02/22,15/02/22,16/02/22,17/02/22,18/02/22,20/02/22,21/02/22,22/02/22,23/02/22,25/02/22,26/02/22,27/02/22,28/02/22,01/03/22,02/03/22,03/03/22,05/03/22,06/03/22,07/03/22,08/03/22,10/03/22,11/03/22,12/03/22,13/03/22,14/03/22,15/03/22,16/03/22,17/03/22,18/03/22,20/03/22,21/03/22,22/03/22,23/03/22,24/03/22,25/03/22,27/03/22,28/03/22,29/03/22,30/03/22,31/03/22,01/04/22,04/04/22,05/04/22,06/04/22,08/04/22,09/04/22,11/04/22,12/04/22,13/04/22,18/04/22,19/04/22,20/04/22,21/04/22,22/04/22,23/04/22,24/04/22,25/04/22,26/04/22,27/04/22,28/04/22,29/04/22,30/04/22,01/05/22,02/05/22,03/05/22,04/05/22,05/05/22,06/05/22,09/05/22,10/05/22,11/05/22,12/05/22,13/05/22,16/05/22,17/05/22,18/05/22,19/05/22,23/05/22
99850,Kendal I2-ASM-09MDS,514535,419990,-94545,18,9000 BTU,A,Sí,https://www.solotodo.cl/products/99850-kendal-i2-asm-09mds,,,,,,,,,,,,,,,,,,449990,449990,449990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689990,689990,529990,529990,529990,529990,529990,529990,689990,499990,499990,599990,499990,499990,499990,599990,599990,499990,499990,499990,499990,499990,499990,499990,599990,599990,599990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,419990,419990,419990,419990,419990,419990
138624,Airolite AASM 18 ATL WIFI,715546,599990,-115556,16,18000 BTU,A,No,https://www.solotodo.cl/products/138624-airolite-aasm-18-atl-wifi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729990,729990,729990,729990,729990,729990,729990,729990,599990,599990
128620,Airolite AASMI 09 PRO HEALTH,586354,499990,-86364,15,9000 BTU,A,Sí,https://www.solotodo.cl/products/128620-airolite-aasmi-09-pro-health,,,,,,,,,,,,,,,,,,549990,549990,549990,549990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749990,749990,749990,749990,749990,749990,749990,749990,639990,,639990,399990,399990,399990,399990,399990,399990,399990,399990,399990,669990,549990,549990,549990,549990,549990,549990,549990,549990,549990,549990,549990,549990,549990,549990,669990,549990,549990,549990,549990,549990,649990,549990,549990,549990,649990,649990,649990,,649990,,,,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,569990,569990,569990,569990,569990,569990,569990,569990,569990,499990,499990
99846,Kendal I2-ASM-24MDS,857161,739990,-117171,14,24000 BTU,A,Sí,https://www.solotodo.cl/products/99846-kendal-i2-asm-24mds,989990,989990,989990,989990,989990,989990,989990,989990,989990,989990,989990,989990,989990,989990,989990,989990,989990,989990,989990,989990,989990,989990,989990,989990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,989990,989990,989990,989990,989990,989990,989990,989990,989990,989990,989990,989990,989990,989990,989990,989990,989990,694990,694990,694990,694990,694990,694990,694990,989990,989990,989990,989990,989990,989990,989990,989990,849990,849990,739990,739990,739990,739990
128616,Airolite EVT-2025,98096,84990,-13106,13,,Desconocido,No,https://www.solotodo.cl/products/128616-airolite-evt-2025,,,,,,,,,,,,,,,,,,114990,119990,119990,119990,119990,119990,119990,114990,114990,114990,114990,114990,114990,114990,114990,114990,114990,114990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,77990,77990,77990,77990,77990,77990,77990,77990,77990,77990,77990,77990,77990,129990,77990,77990,77990,77990,77990,77990,77990,77990,77990,77990,77990,77990,76990,76990,76990,76990,76990,76990,76990,76990,129990,129990,76990,76990,76990,76990,76990,76990,76990,76990,76990,76990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,84990,84990,84990,84990,84990,129990,84990,84990,84990,84990,84990,84990,84990,84990
128572,Gree GWH12AGC-K3DNA1O,426563,369990,-56573,13,12000 BTU,A,Sí,https://www.solotodo.cl/products/128572-gree-gwh12agc-k3dna1o,,,,,,,,,,,,,,,,419990,419990,862990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,,399990,,429990,429990,429990,429990,429990,429990,429990,429990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,,399990,399990,,869990,399990,399990,399990,869990,869990,429990,389990,389990,389990,389990,369990,369990,369990,369990,369990,369990,369990,369990,369990,389990,389990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,359990,359990,359990,359990,359990,359990,359990,359990,899990,899990,899990,899990,369990,369990,,369990,369990,369990,369990
55603,Kaltemp KSM-24BC1,850495,739990,-110505,13,24000 BTU,A,No,https://www.solotodo.cl/products/55603-kaltemp-ksm-24bc1,889990,889990,889990,889990,889990,889990,889990,889990,889990,889990,889990,889990,,,,,,,,,,,,,889990,889990,889990,889990,889990,,,,,889990,889990,,889990,,889990,739990,,739990,,739990,1109990,1109990,,1109990,1109990,1109990,1109990,1109990,1109990,1109990,1109990,1109990,1109990,1109990,1109990,1109990,1109990,1109990,1109990,1109990,1109990,1109990,1109990,1109990,1109990,1109990,1109990,1109990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,520990,520990,520990,520990,520990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990
131706,Airolite AASM 24 ATL WIFI,852263,749990,-102273,12,24000 BTU,A,No,https://www.solotodo.cl/products/131706-airolite-aasm-24-atl-wifi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999990,,999990,999990,999990,,999990,999990,999990,999990,,999990,999990,999990,999990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,,739990,739990,,739990,739990,739990,,,,,879990,,879990,,879990,879990,879990,879990,,879990,879990,879990,879990,879990,879990,879990,879990,879990,879990,879990,879990,879990,879990,879990,879990,879990,879990,879990,879990,879990,879990,879990,879990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990
68202,Sindelen AC-9000FC,216836,192850,-23986,11,9000 BTU,Desconocido,No,https://www.solotodo.cl/products/68202-sindelen-ac-9000fc,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,229990,209990,209990,209990,249990,249990,249990,249990,249990,199990,199990,199990,199990,199990,199990,209990,209990,209990,209990,209990,209990,209990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,164990,259990,259990,259990,259990,259990,259990,259990,259990,259990,259990,259990,259990,259990,259990,259990,259990,259990,259990,259990,259990,259990,259990,192850
138621,Airolite AASMI 18 ATI WIFI,947768,849990,-97778,10,18000 BTU,A,Sí,https://www.solotodo.cl/products/138621-airolite-aasmi-18-ati-wifi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,959990,959990,959990,959990,959990,959990,959990,959990,849990,849990
