id,name,price,today,diff price,diff percent,url,type,hz,size driver,microphone,connection,08/12/21,09/12/21,10/12/21,11/12/21,12/12/21
70879,Skullcandy Push True Wireless Earbuds - Indigo,87990,87990,0,0,https://www.solotodo.cl/products/70879-skullcandy-push-true-wireless-earbuds-indigo,True Wireless,20 - 20000 Hz.,9.2 mm.,Montado (invisible),Bluetooth,87990,87990,87990,87990,87990
84858,Sony WH-CH710N Wireless Noise-Canceling Headphones - Black (WH-CH710N/B),59990,59990,0,0,https://www.solotodo.cl/products/84858-sony-wh-ch710n-wireless-noise-canceling-headphones-black-wh-ch710nb,Over-Ear / Headset,7 - 20000 Hz.,30 mm.,Montado (invisible),"3.5 mm.
Bluetooth
NFC",59990,59990,59990,59990,59990
85721,Sony WH-CH710N Wireless Noise-Canceling Headphones - Blue (WH-CH710N/L),59990,59990,0,0,https://www.solotodo.cl/products/85721-sony-wh-ch710n-wireless-noise-canceling-headphones-blue-wh-ch710nl,Over-Ear / Headset,7 - 20000 Hz.,30 mm.,Montado (invisible),"3.5 mm.
Bluetooth
NFC",59990,59990,59990,59990,59990
77773,Skullcandy Vert Clip-Anywhere Wireless Earbuds (Negro),52990,52990,0,0,https://www.solotodo.cl/products/77773-skullcandy-vert-clip-anywhere-wireless-earbuds-negro,In-Ear,20 - 20000 Hz.,14 mm.,In-line (en el cable),Bluetooth,52990,52990,52990,52990,52990
97427,Samsung Galaxy Buds Pro - Silver (SM-R190NZSALTA),139990,139990,0,0,https://www.solotodo.cl/products/97427-samsung-galaxy-buds-pro-silver-sm-r190nzsalta,True Wireless,,,Montado (invisible),Bluetooth,139990,139990,139990,139990,139990
78257,JBL Tune 600BTNC - Blue (JBLT600BTNCBLUAM),111898,111898,0,0,https://www.solotodo.cl/products/78257-jbl-tune-600btnc-blue-jblt600btncbluam,Over-Ear / Headset,20 - 20000 Hz.,32 mm.,Sin micrófono,"3.5 mm.
Bluetooth",111898,111898,111898,111898,111898
50409,Sony WI-SP600N Sports Wireless Noise Canceling In-ear Headphones - Yellow,99990,99990,0,0,https://www.solotodo.cl/products/50409-sony-wi-sp600n-sports-wireless-noise-canceling-in-ear-headphones-yellow,Deportivo,20 - 20000 Hz.,6 mm.,Montado (invisible),Bluetooth,99990,99990,99990,99990,99990
63510,Sony WF-1000XM3 Bluetooth Noise Cancelling Wireless Earphones - Negro,99990,99990,0,0,https://www.solotodo.cl/products/63510-sony-wf-1000xm3-bluetooth-noise-cancelling-wireless-earphones-negro,True Wireless,20 - 20000 Hz.,6 mm.,Montado (invisible),"Bluetooth
NFC",99990,99990,99990,99990,99990
85353,Samsung Galaxy Buds Live - Mystic White (SM-R180NZWALTA),102990,102990,0,0,https://www.solotodo.cl/products/85353-samsung-galaxy-buds-live-mystic-white-sm-r180nzwalta,True Wireless,20 - 20000 Hz.,12 mm.,Montado (invisible),Bluetooth,102990,102990,102990,102990,102990
87379,Samsung Galaxy Buds Live - Mystic Red (SM-R180NZRALTA),139990,139990,0,0,https://www.solotodo.cl/products/87379-samsung-galaxy-buds-live-mystic-red-sm-r180nzralta,True Wireless,20 - 20000 Hz.,12 mm.,Montado (invisible),Bluetooth,139990,139990,139990,139990,139990
85258,Samsung Galaxy Buds Live - Mystic Bronze (SM-R180NZNALTA),99990,99990,0,0,https://www.solotodo.cl/products/85258-samsung-galaxy-buds-live-mystic-bronze-sm-r180nznalta,True Wireless,20 - 20000 Hz.,12 mm.,Montado (invisible),Bluetooth,99990,99990,99990,99990,99990
48026,Bose QuietComfort 35 (Pearl),219990,219990,0,0,https://www.solotodo.cl/products/48026-bose-quietcomfort-35-pearl,Over-Ear / Headset,,,Montado (invisible),Bluetooth,219990,219990,219990,219990,219990
97426,Samsung Galaxy Buds Pro - Phantom Violet (SM-R190NZVALTA),139990,139990,0,0,https://www.solotodo.cl/products/97426-samsung-galaxy-buds-pro-phantom-violet-sm-r190nzvalta,True Wireless,,,Montado (invisible),Bluetooth,139990,139990,139990,139990,139990
115351,Skullcandy Hesh ANC Noise Canceling Wireless Headphones - Black,90990,90990,0,0,https://www.solotodo.cl/products/115351-skullcandy-hesh-anc-noise-canceling-wireless-headphones-black,Over-Ear / Headset,20 - 20000 Hz.,40 mm.,Montado (invisible),Bluetooth,90990,90990,90990,90990,90990
89827,Sennheiser HD 450 - Blanco,119990,119990,0,0,https://www.solotodo.cl/products/89827-sennheiser-hd-450-blanco,Over-Ear / Headset,18 - 22000 Hz.,,Montado (invisible),Bluetooth,119990,119990,119990,119990,119990
67679,Skullcandy Venue Active Noise Cancelling Headphones - Black,99990,99990,0,0,https://www.solotodo.cl/products/67679-skullcandy-venue-active-noise-cancelling-headphones-black,Over-Ear / Headset,,40 mm.,Montado (invisible),Bluetooth,99990,99990,99990,99990,99990
118193,Samsung Galaxy Buds2 - Olive (SM-R177NZGALTA),119990,119990,0,0,https://www.solotodo.cl/products/118193-samsung-galaxy-buds2-olive-sm-r177nzgalta,True Wireless,,,Montado (invisible),Bluetooth,119990,119990,119990,119990,119990
60771,JBL Tune 600BTNC - Blue (JBLT600BTNCBLU),75000,75000,0,0,https://www.solotodo.cl/products/60771-jbl-tune-600btnc-blue-jblt600btncblu,Over-Ear / Headset,20 - 20000 Hz.,32 mm.,Sin micrófono,"3.5 mm.
Bluetooth",75000,,75000,75000,75000
53978,Sony Wireless Noise-Canceling Headphone - Black (WH-1000XM3),957990,957990,0,0,https://www.solotodo.cl/products/53978-sony-wireless-noise-canceling-headphone-black-wh-1000xm3,Over-Ear / Headset,4 - 40000 Hz.,40 mm.,Montado (invisible),"3.5 mm.
Bluetooth
NFC",957990,957990,957990,957990,957990
