id,name,price,today,diff price,diff percent,url,size,resolution,ms,hz,g-sync,freesync,08/12/21,09/12/21,10/12/21,11/12/21,12/12/21
102302,Viewsonic VX2768-2KP-MHD,349990,349990,0,0,https://www.solotodo.cl/products/102302-viewsonic-vx2768-2kp-mhd,"27.0""",Quad HD (2560x1440),3 ms,144 Hz,No,Sí,349990,349990,349990,349990,349990
114637,Lenovo Legion Y27q-20 (65EEGAC1US),389990,389990,0,0,https://www.solotodo.cl/products/114637-lenovo-legion-y27q-20-65eegac1us,"27.0""",Quad HD (2560x1440),3 ms,165 Hz,G-Sync Compatible,No,389990,389990,389990,389990,389990
101777,Fantech Chimera GM271SF,239990,239990,0,0,https://www.solotodo.cl/products/101777-fantech-chimera-gm271sf,"27.0""",Full HD (1920x1080),4 ms,165 Hz,No,Sí,239990,239990,239990,239990,239990
104811,Lenovo G27q-20 (66C3GAC1CL),229990,229990,0,0,https://www.solotodo.cl/products/104811-lenovo-g27q-20-66c3gac1cl,"27.0""",Quad HD (2560x1440),5 ms,165 Hz,G-Sync Compatible,Sí,229990,229990,229990,229990,229990
116426,Lenovo ThinkVision X1 2nd Gen (61C2GAR1US),379990,379990,0,0,https://www.solotodo.cl/products/116426-lenovo-thinkvision-x1-2nd-gen-61c2gar1us,"27.0""",Ultra HD (3840x2160),4 ms,60 Hz,No,No,379990,379990,379990,379990,379990
88092,Viewsonic VX2785-2K-MHDU,359990,359990,0,0,https://www.solotodo.cl/products/88092-viewsonic-vx2785-2k-mhdu,"27.0""",Quad HD (2560x1440),5 ms,60 Hz,No,Sí,359990,359990,359990,359990,359990
118673,Aorus FI32Q-SA,932990,932990,0,0,https://www.solotodo.cl/products/118673-aorus-fi32q-sa,"32.0""",Quad HD (2560x1440),1 ms,165 Hz,No,Sí,932990,932990,932990,932990,932990
94478,ASUS TUF VG27AQ1A,483351,483351,0,0,https://www.solotodo.cl/products/94478-asus-tuf-vg27aq1a,"27.0""",Quad HD (2560x1440),1 ms,170 Hz,G-Sync,Sí,483351,483351,483351,483351,483351
97118,LG 34BN770-B,479990,479990,0,0,https://www.solotodo.cl/products/97118-lg-34bn770-b,"34.0""",3440x1440,5 ms,60 Hz,No,Sí,479990,479990,479990,479990,479990
90576,Acer V277 bmix (UM.HV7AA.004),339990,339990,0,0,https://www.solotodo.cl/products/90576-acer-v277-bmix-umhv7aa004,"27.0""",Full HD (1920x1080),4 ms,75 Hz,No,No,339990,339990,339990,339990,339990
122316,Lenovo C32q-20 (665F8GCC1US),259990,259990,0,0,https://www.solotodo.cl/products/122316-lenovo-c32q-20-665f8gcc1us,"31,5""",Quad HD (2560x1440),4 ms,75 Hz,No,Sí,259990,259990,259990,259990,259990
124871,MSI Optix MAG301RF,349990,349990,0,0,https://www.solotodo.cl/products/124871-msi-optix-mag301rf,"30.0""",2560x1080,1 ms,200 Hz,G-Sync Compatible,Sí,349990,349990,349990,349990,349990
90868,Ozone DSP27 IPS,319990,319990,0,0,https://www.solotodo.cl/products/90868-ozone-dsp27-ips,"27.0""",Quad HD (2560x1440),1 ms,144 Hz,G-Sync Compatible,Sí,319990,319990,319990,319990,319990
74137,ASUS TUF VG27AQ,429990,429990,0,0,https://www.solotodo.cl/products/74137-asus-tuf-vg27aq,"27.0""",Quad HD (2560x1440),1 ms,165 Hz,G-Sync Compatible,Sí,429990,429990,429990,429990,429990
86308,Viewsonic Elite XG270QG,662990,662990,0,0,https://www.solotodo.cl/products/86308-viewsonic-elite-xg270qg,"27.0""",Quad HD (2560x1440),1 ms,165 Hz,G-Sync,Sí,662990,662990,662990,662990,662990
80590,Samsung U28R550 (LU28R550UQLXZS),448990,448990,0,0,https://www.solotodo.cl/products/80590-samsung-u28r550-lu28r550uqlxzs,"28.0""",Ultra HD (3840x2160),4 ms,60 Hz,No,Sí,448990,448990,448990,448990,448990
118033,Xiaomi Mi 27″ Desktop Monitor,169990,169990,0,0,https://www.solotodo.cl/products/118033-xiaomi-mi-27-desktop-monitor,"27.0""",Full HD (1920x1080),6 ms,60 Hz,No,No,169990,169990,169990,169990,169990
91659,ASUS TUF VG27AQL1A,487990,487990,0,0,https://www.solotodo.cl/products/91659-asus-tuf-vg27aql1a,"27.0""",Quad HD (2560x1440),4 ms,170 Hz,No,Sí,487990,487990,487990,487990,487990
121441,LG 27UN880-B,499990,499990,0,0,https://www.solotodo.cl/products/121441-lg-27un880-b,"27.0""",Ultra HD (3840x2160),5 ms,60 Hz,No,Sí,499990,499990,499990,499990,499990
90763,Aorus FI27Q-P-SA,629990,629990,0,0,https://www.solotodo.cl/products/90763-aorus-fi27q-p-sa,"27.0""",Quad HD (2560x1440),1 ms,165 Hz,No,Sí,629990,629990,629990,629990,629990
