id,name,type,size,resolution,smartTV,url,price,diff price,diff percent,28/11/21,29/11/21,30/11/21,01/12/21,02/12/21
112133,Samsung QN50BWBRU,QLED,"50.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/112133-samsung-qn50bwbru,674990,5000,1,679990,679990,669990,669990,669990
111649,Samsung QN65LS03A,QLED,"65.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/111649-samsung-qn65ls03a,925240,5250,1,926990,926990,926990,919990,919990
111007,LG 86NANO75SPA,NanoCell,"86,0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/111007-lg-86nano75spa,1404990,5000,0,1399990,1399990,1419990,1399990,1399990
122210,Samsung QN55BWBRU + Marco Café Clásico,QLED,"55.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/122210-samsung-qn55bwbru-marco-cafe-clasico,849990,0,0,849990,849990,849990,849990,849990
78752,Samsung QN50Q60T,QLED,"50.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/78752-samsung-qn50q60t,629990,0,0,629990,629990,629990,629990,629990
122849,Samsung QN50QN90A + Soundbar HW-Q900A + Speaker SWA-9500S,QLED,"50.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/122849-samsung-qn50qn90a-soundbar-hw-q900a-speaker-swa-9500s,1549980,0,0,1549980,1549980,1549980,1549980,1549980
78424,Samsung QN55LS01TA,QLED,"55.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/78424-samsung-qn55ls01ta,749990,0,0,749990,749990,749990,749990,749990
114739,LG 65QNED90SPA,QNED,"65.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/114739-lg-65qned90spa,1199990,0,0,1199990,1199990,1199990,1199990,1199990
122209,Samsung QN50BWBRU + Marco Café Clásico,QLED,"50.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/122209-samsung-qn50bwbru-marco-cafe-clasico,749990,0,0,749990,749990,749990,749990,749990
108776,"Samsung QN55QN85A + TV QLED 32"" The Frame",QLED,"55.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/108776-samsung-qn55qn85a-tv-qled-32-the-frame,1499990,0,0,1499990,1499990,1499990,1499990,1499990
108252,LG OLED55A1PSA,OLED,"55.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/108252-lg-oled55a1psa,579990,0,0,579990,579990,579990,579990,579990
106166,Samsung QN55QN90A,QLED,"55.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/106166-samsung-qn55qn90a,829990,0,0,829990,829990,829990,829990,829990
107908,Samsung QN65QN90A,QLED,"65.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/107908-samsung-qn65qn90a,999990,0,0,999990,999990,999990,999990,999990
115600,LG OLED48A1PSA,OLED,"48.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/115600-lg-oled48a1psa,499990,0,0,499990,499990,499990,499990,499990
117522,Samsung QN43BWBRU,QLED,"43.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/117522-samsung-qn43bwbru,619990,0,0,619990,619990,619990,619990,619990
104723,Samsung QN55Q60A,QLED,"55.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/104723-samsung-qn55q60a,499990,0,0,499990,499990,499990,499990,499990
123229,Samsung QN43QN90A,QLED,"43.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/123229-samsung-qn43qn90a,649990,0,0,649990,649990,649990,649990,649990
122208,Samsung QN43BWBRU + Marco Café Clásico,QLED,"43.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/122208-samsung-qn43bwbru-marco-cafe-clasico,649990,0,0,649990,649990,649990,649990,649990
122840,Samsung QN50Q80A,QLED,"50.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/122840-samsung-qn50q80a,629990,0,0,629990,629990,629990,629990,629990
109203,"Samsung QN65QN85A + TV QLED 32"" The Frame",QLED,"65.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/109203-samsung-qn65qn85a-tv-qled-32-the-frame,1799990,0,0,1799990,1799990,1799990,1799990,1799990
114103,Samsung QN43LS03A + Marco Beige,QLED,"43.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/114103-samsung-qn43ls03a-marco-beige,549990,0,0,,,,549990,549990
80161,Samsung QN65Q800T,QLED,"65.0""",8K Full Ultra HD (7680x4320),Sí,https://www.solotodo.cl/products/80161-samsung-qn65q800t,1299990,0,0,1299990,1299990,1299990,1299990,1299990
108259,LG OLED48C1PSA,OLED,"48.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/108259-lg-oled48c1psa,659990,0,0,659990,659990,659990,659990,659990
79955,LG 75NANO90SNA,NanoCell,"75.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/79955-lg-75nano90sna,1149990,0,0,1149990,1149990,1149990,1149990,1149990
116823,LG 75QNED99SPA,QNED,"75.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/116823-lg-75qned99spa,2999990,0,0,2999990,2999990,2999990,2999990,2999990
122848,Samsung QN65QN90A + Soundbar HW-Q900A + Speaker SWA-9500S,QLED,"65.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/122848-samsung-qn65qn90a-soundbar-hw-q900a-speaker-swa-9500s,1629990,0,0,1629990,1629990,1629990,1629990,1629990
107897,Samsung QN85Q70A,QLED,"85.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/107897-samsung-qn85q70a,1599990,0,0,1599990,1599990,1599990,1599990,1599990
113740,LG 86QNED99SPA,QNED,"86,0""",8K Full Ultra HD (7680x4320),Sí,https://www.solotodo.cl/products/113740-lg-86qned99spa,4949990,0,0,4949990,4949990,4949990,4949990,4949990
81723,LG 86NANO90SNA,NanoCell,"86,0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/81723-lg-86nano90sna,2179990,0,0,2179990,2179990,2179990,2179990,2179990
112044,LG 86NANO90SPA,NanoCell,"86,0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/112044-lg-86nano90spa,2179990,0,0,2179990,2179990,2179990,2179990,2179990
79384,Samsung QN75Q90T,QLED,"75.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/79384-samsung-qn75q90t,2319992,0,0,2319992,2319992,2319992,2319992,2319992
122925,Samsung QN65LS03A + Marco Café Clásico,QLED,"65.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/122925-samsung-qn65ls03a-marco-cafe-clasico,1099990,0,0,1099990,1099990,1099990,1099990,1099990
121966,Samsung QN65LST7TA + Soporte de Pared WMN4070TT,QLED,"65.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/121966-samsung-qn65lst7ta-soporte-de-pared-wmn4070tt,2359990,0,0,2359990,2359990,2359990,2359990,2359990
91956,Samsung QN65LST7TA + Soundbar Samsung HW-LST70T + Soporte Pared,QLED,"65.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/91956-samsung-qn65lst7ta-soundbar-samsung-hw-lst70t-soporte-pared,2499990,0,0,2499990,2499990,2499990,2499990,2499990
122852,Samsung QN75QN85A + Soundbar HW-Q900A + Speaker SWA-9500S,QLED,"75.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/122852-samsung-qn75qn85a-soundbar-hw-q900a-speaker-swa-9500s,2599980,0,0,2599980,2599980,2599980,2599980,2599980
109207,"Samsung QN75QN85A + TV QLED 32"" The Frame",QLED,"75.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/109207-samsung-qn75qn85a-tv-qled-32-the-frame,2899990,0,0,2899990,2899990,2899990,2899990,2899990
123179,Samsung QN55LST7TA + Soporte de Pared WMN4070TT,QLED,"55.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/123179-samsung-qn55lst7ta-soporte-de-pared-wmn4070tt,1899990,0,0,1899990,1899990,1899990,1899990,1899990
