id,name,price,today,diff price,diff percent,type,power,capacity,storage,url,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,27/12/21,28/12/21,29/12/21,30/12/21,31/12/21,02/01/22,03/01/22,04/01/22,05/01/22,06/01/22,07/01/22,08/01/22,09/01/22,10/01/22,11/01/22
76133,Samsung VR05R5050WK/ZS,134518,119990,-14528,11,Robot,Desconocido,0.2 L.,Canister (sin bolsa),https://www.solotodo.cl/products/76133-samsung-vr05r5050wkzs,129990,129990,129990,142524,142524,142524,142524,142524,142990,142990,129990,129990,139990,139990,139990,159990,159990,119990,119990,119990,119990,119990,119990,119990,119990
116468,Samsung VR30T85513W/ZS,524990,499990,-25000,5,Robot,Desconocido,2.5 L.,Canister (sin bolsa),https://www.solotodo.cl/products/116468-samsung-vr30t85513wzs,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,699990,699990,699990,499990,499990,499990,499990,499990,499990,499990
103688,Samsung POWERbot-e (VR05R5050WG/ZS),170823,169990,-833,0,Robot,Desconocido,Desconocido,Canister (sin bolsa),https://www.solotodo.cl/products/103688-samsung-powerbot-e-vr05r5050wgzs,169990,169990,169990,169990,169990,159990,169990,169990,169990,169990,169990,169990,169990,169990,169990,179990,179990,179990,169990,169990,169990,169990,169990,169990,169990
17966,IRobot Roomba 620,279990,279990,0,0,Robot,Desconocido,0.5 L.,Canister (sin bolsa),https://www.solotodo.cl/products/17966-irobot-roomba-620,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990
116469,Samsung VR50T95735W/ZS,799990,799990,0,0,Robot,30 W.,2.5 L.,Canister (sin bolsa),https://www.solotodo.cl/products/116469-samsung-vr50t95735wzs,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990
40536,IRobot Roomba 960,508323,519990,11667,-2,Robot,Desconocido,Desconocido,Canister (sin bolsa),https://www.solotodo.cl/products/40536-irobot-roomba-960,439990,439990,439990,439990,439990,439990,439990,439990,439990,439990,439990,439990,439990,439990,799990,799990,799990,519990,519990,519990,519990,519990,519990,519990,519990
32814,IRobot Braava Jet 240,197490,209990,12500,-6,Robot,Desconocido,0.5 L.,Canister (sin bolsa),https://www.solotodo.cl/products/32814-irobot-braava-jet-240,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,249990,249990,249990,209990,209990,209990,209990,209990,209990,209990,209990
32288,IRobot Braava 380,191657,229990,38333,-20,Robot,Desconocido,0.5 L.,Canister (sin bolsa),https://www.solotodo.cl/products/32288-irobot-braava-380,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,229990,229990
