id,name,price,today,diff price,diff percent,processor,screen,capacity,phone connet,so,url,12/12/21,13/12/21,14/12/21,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,27/12/21,28/12/21,29/12/21,30/12/21,31/12/21,02/01/22,03/01/22,04/01/22,05/01/22,06/01/22,07/01/22,08/01/22,09/01/22,10/01/22,11/01/22,12/01/22,13/01/22,14/01/22,15/01/22,16/01/22,17/01/22,18/01/22,19/01/22,20/01/22,21/01/22,24/01/22,25/01/22,26/01/22,27/01/22,28/01/22,29/01/22,31/01/22,01/02/22,02/02/22,03/02/22,04/02/22,05/02/22,06/02/22,07/02/22,08/02/22,09/02/22,10/02/22,11/02/22,13/02/22,15/02/22,16/02/22,17/02/22,18/02/22,20/02/22,21/02/22,22/02/22,23/02/22,24/02/22,25/02/22,26/02/22,27/02/22,28/02/22,01/03/22,02/03/22,03/03/22,05/03/22,06/03/22,07/03/22,08/03/22,10/03/22,11/03/22,12/03/22,13/03/22,14/03/22,15/03/22,16/03/22,17/03/22,18/03/22,20/03/22,21/03/22,22/03/22,23/03/22,24/03/22,25/03/22,27/03/22,28/03/22,29/03/22,30/03/22,31/03/22,01/04/22,04/04/22,05/04/22,06/04/22,08/04/22,09/04/22,11/04/22,12/04/22,13/04/22,18/04/22,19/04/22,20/04/22,21/04/22,22/04/22,23/04/22,24/04/22,25/04/22,26/04/22,27/04/22,28/04/22,29/04/22,30/04/22,01/05/22,02/05/22,03/05/22,04/05/22,05/05/22,06/05/22,09/05/22,10/05/22,11/05/22,12/05/22,13/05/22,16/05/22,17/05/22,18/05/22,19/05/22,20/05/22,23/05/22
137969,Apple iPad Air 10.9 2022 (Wi-Fi / 64 GB / Purple) [MME23CI/A],614237,614237,0,0,Apple M1 (3200 MHz),"10,9"" (2360x1640)",64 GB,No,iPadOS 15,https://www.solotodo.cl/products/137969-apple-ipad-air-109-2022-wi-fi-64-gb-purple-mme23cia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614237,614237,614237,614237,614237,614237
81303,Apple iPad Pro 11.0 2020 (LTE / 128 GB / Space Gray) [MY2V2CI/A],899990,899990,0,0,Apple A12Z Bionic (2500 MHz),"11.0"" (2388x1668)",128 GB,4G,iOS 13.4,https://www.solotodo.cl/products/81303-apple-ipad-pro-110-2020-lte-128-gb-space-gray-my2v2cia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899990,,,,,,,,,,,,,,,,,,,,,,,,,,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990
131516,Amazon Fire HD 10 2021 (32 GB / Denim),104990,104990,0,0,MediaTek MT8183 (2000 MHz),"10.1"" (1920x1200)",32 GB,No,"Android 9.0 ""Pie""",https://www.solotodo.cl/products/131516-amazon-fire-hd-10-2021-32-gb-denim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104990,104990,104990,104990,104990,104990,104990,104990,104990,104990,104990,104990,104990,104990,104990,104990,104990,104990,104990,104990,104990,104990,104990,104990,104990,104990,104990
137959,Apple iPad Air 10.9 2022 (Wi-Fi + Cellular / 64 GB / Purple) [MME93CI/A],767799,767799,0,0,Apple M1 (3200 MHz),"10,9"" (2360x1640)",64 GB,5G,iPadOS 15,https://www.solotodo.cl/products/137959-apple-ipad-air-109-2022-wi-fi-cellular-64-gb-purple-mme93cia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767799,767799,767799,767799,767799,767799
38909,Apple iPad Pro 10.5 2017 (Wi-Fi / 64 GB / Silver) [MQDW2CI/A],349990,349990,0,0,Apple A10X Fusion (2380 MHz),"10.5"" (2224x1668)",64 GB,No,iOS 10.3,https://www.solotodo.cl/products/38909-apple-ipad-pro-105-2017-wi-fi-64-gb-silver-mqdw2cia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349990,349990,349990
128311,Apple iPad Mini 8.3 2021 LTE (256 GB / Pink) [MLX93CI/A],769990,769990,0,0,Apple A15 Bionic (1820 MHz),"8.3"" (2266x1488)",256 GB,4G,iPadOS 15,https://www.solotodo.cl/products/128311-apple-ipad-mini-83-2021-lte-256-gb-pink-mlx93cia,,,,,,,,,,,,,,,,769990,,,,,,,,,,,,,,,,,,,,,,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,,,,,,,,,,,,,,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,,769990,769990,769990,,769990,769990,769990,769990,769990,769990,769990,769990
136103,Amazon Fire HD 8 Plus 2020 (32 GB / Black),79990,79990,0,0,MediaTek MT8168 (2000 MHz),"8.0"" (1280x800)",32 GB,No,"Android 9.0 ""Pie""",https://www.solotodo.cl/products/136103-amazon-fire-hd-8-plus-2020-32-gb-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990
54531,Microsoft Surface Go (64 GB / 4 GB),729990,729990,0,0,Intel Pentium 4415Y (1600 MHz),"10.0"" (1800x1200)",64 GB,No,Windows 10,https://www.solotodo.cl/products/54531-microsoft-surface-go-64-gb-4-gb,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990
11649,Apple iPad Mini [MD529CI/A],89990,89990,0,0,Apple A5 (1000 MHz),"7.9"" (1024x768)",32 GB,No,iOS 6.0,https://www.solotodo.cl/products/11649-apple-ipad-mini-md529cia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89990,89990,89990,89990,89990,89990,89990,,,,,,,,,,,,,,,,,,,,,,,,,89990,89990,89990,89990,89990,89990,89990,89990,89990
11644,Apple iPad Mini [MD536CI/A],119990,119990,0,0,Apple A5 (1000 MHz),"7.9"" (1024x768)",64 GB,3G,iOS 6.0,https://www.solotodo.cl/products/11644-apple-ipad-mini-md536cia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119990,119990,119990,119990,119990,119990,119990,119990,119990
