id,name,type,brand,power,url,price,today,diff price,diff percent,28/11/21,29/11/21,30/11/21,01/12/21,02/12/21,03/12/21,05/12/21,06/12/21,07/12/21,08/12/21,09/12/21,10/12/21,11/12/21,12/12/21,13/12/21,14/12/21,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,27/12/21,28/12/21,29/12/21,30/12/21,31/12/21,02/01/22,03/01/22,04/01/22,05/01/22,06/01/22,07/01/22,08/01/22,09/01/22,10/01/22,11/01/22,12/01/22,13/01/22,14/01/22,15/01/22,16/01/22,17/01/22,18/01/22,19/01/22,20/01/22,21/01/22,24/01/22,25/01/22,26/01/22,27/01/22,28/01/22,29/01/22,31/01/22,01/02/22,02/02/22,03/02/22,04/02/22,05/02/22,06/02/22,07/02/22,08/02/22,09/02/22,10/02/22,11/02/22,13/02/22,15/02/22,16/02/22,17/02/22,18/02/22,20/02/22,21/02/22,22/02/22,23/02/22,24/02/22,25/02/22,26/02/22,27/02/22,28/02/22,01/03/22,02/03/22,03/03/22,05/03/22,06/03/22,07/03/22,08/03/22,10/03/22,11/03/22,12/03/22,13/03/22,14/03/22,15/03/22,16/03/22,17/03/22,18/03/22,20/03/22,21/03/22,22/03/22,23/03/22,24/03/22,25/03/22,27/03/22,28/03/22,29/03/22,30/03/22,31/03/22,01/04/22,04/04/22,05/04/22,06/04/22,08/04/22,09/04/22,11/04/22,12/04/22,13/04/22,18/04/22,19/04/22,20/04/22,21/04/22,22/04/22,23/04/22,24/04/22,25/04/22,26/04/22,27/04/22,28/04/22,29/04/22,30/04/22,01/05/22,02/05/22,03/05/22,04/05/22,05/05/22,06/05/22,09/05/22,10/05/22,11/05/22,12/05/22,13/05/22,16/05/22,17/05/22,18/05/22,19/05/22,20/05/22,23/05/22
65907,Bose Home Speaker 300 - Negro,Parlante Inteligente,Bose,,https://www.solotodo.cl/products/65907-bose-home-speaker-300-negro,224004,189990,-34014,15,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,229990,229990,229990,229990,229990,229990,209990,209990,209990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,229990,249990,249990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990
86213,Mackie Thump12A,Caja Activa,Mackie,1300 W.,https://www.solotodo.cl/products/86213-mackie-thump12a,467112,409990,-57122,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588990,,,588990,588990,588990,482990,482990,482990,482990,482990,482990,482990,482990,482990,482990,482990,482990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,599990,409990,409990,,409990,409990,409990,409990,409990,409990,409990,409990,409990
87906,JBL EON ONE Compact,Caja Activa,JBL,150 W.,https://www.solotodo.cl/products/87906-jbl-eon-one-compact,654190,576990,-77200,12,645990,645990,645990,645990,606990,606990,606990,606990,606990,606990,606990,645990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,679990,679990,679990,679990,679990,679990,679990,679990,679990,679990,679990,679990,648990,648990,648990,648990,648990,648990,679990,679990,679990,679990,679990,679990,,679990,669990,669990,669990,669990,669990,659990,659990,639990,639990,639990,639990,639990,639990,639990,639990,659990,659990,639990,659990,659990,659990,669990,659990,659990,659990,659990,659990,659990,720990,720990,720990,720990,720990,720990,720990,720990,720990,720990,720990,720990,720990,720990,720990,643190,643190,643190,643190,643190,576990,576990,576990,576990,576990,576990,576990,562199,562199,562199,562199,562199,562199,562199,576990,576990,576990,576990,576990,576990,576990,576990,576990,576990,576990,576990,576990,576990,576990,576990,576990,576990
65973,Sony HT-S350,Soundbar,Sony,320 W.,https://www.solotodo.cl/products/65973-sony-ht-s350,135710,119990,-15720,12,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,134990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,135790,139990,139990,139990,139990,139990,134990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,134990,134990,129990,129990,129990,129981,134990,134990,134990,134990,134990,139990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,119990,119990,119990,129990,129990,129990,119990,119990,119990,119990,119990,119990
65702,JBL Flip 5 - Azul Marino,Parlante Portátil Bluetooth,JBL,20 W.,https://www.solotodo.cl/products/65702-jbl-flip-5-azul-marino,95245,84990,-10255,11,79990,79990,79990,79990,79990,79990,84990,84990,84990,79990,84990,84990,84990,84990,84990,84990,84990,84990,84990,84990,84990,84990,84990,84990,84990,84990,84990,84990,87290,89990,89990,89990,89990,89990,74990,89990,89990,89990,89990,89990,89990,89990,89990,89990,89990,89990,89990,89990,89990,89990,119990,119990,89990,,119990,119990,89990,89990,89990,119990,139990,139990,139990,139990,139990,139990,139990,,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,139990,139990,119990,119990,119990,119990,119990,119990,139990,109990,119990,99990,99990,89990,89990,89990,89990,89990,89990,89990,89990,89990,89990,89990,99990,99990,89990,89990,89990,89990,89990,89990,99990,79990,99990,79990,79990,79990,79990,99990,99990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,84990,79990,79990,74990,74990,74990,74990,74990,74990,84990,84990,84990,84990
120052,JBL Charge Essential,Parlante Portátil Bluetooth,JBL,20 W.,https://www.solotodo.cl/products/120052-jbl-charge-essential,111146,99990,-11156,10,109990,109990,109990,109990,109990,109990,109990,109990,109990,109990,109990,109990,109990,109990,109990,109990,109990,109990,109990,109990,109990,109990,109990,109990,109990,109990,109990,109990,129990,109990,109990,109990,109990,109990,109990,109990,109990,109990,109990,109990,149990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,119990,119990,,119990,119990,149990,149990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,109990,109990,109990,99990,99990,99990,99990,99990,99990,109990,109990,109990,109990,109990,109990,109990,109990,149990,99990,99990,99990,99990,99990,99990,149990,129990,129990,99990,99990,99990,99990,99990,99990,99990,99990,99990
135266,JBL Flip 6 - Rojo,Parlante Portátil Bluetooth,JBL,20 W.,https://www.solotodo.cl/products/135266-jbl-flip-6-rojo,114334,102990,-11344,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124990,124990,124990,124990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,116990,99990,99990,109990,109990,109990,104990,104990,104990,102990,104990,102990,102990,102990,102990
92971,JBL Flip Essential - Negro,Parlante Portátil Bluetooth,JBL,16 W.,https://www.solotodo.cl/products/92971-jbl-flip-essential-negro,66500,59990,-6510,10,62990,64990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,58990,58990,59990,64990,64990,64990,69990,69990,69990,69990,69990,69990,67990,67990,69990,69990,67990,67990,67990,67990,67990,67990,67990,67990,67990,67990,67990,67990,67990,67990,67990,67990,67990,67990,67990,67990,67990,69990,67990,67990,67990,69990,79990,67990,67990,79990,79990,79990,79990,79990,79990,,79990,79990,79990,79990,69990,79990,79990,69990,79990,79990,69990,65990,65990,64990,64990,64990,64990,64990,64990,65990,65990,65990,65990,69990,69990,69990,69990,69990,69990,69990,64990,64990,64990,64990,64990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,67990,67990,69990,69990,64990,64990,64990,64990,64990,64990,64990,64990,64990,64990,64990,64990,64990,64990,64990,64990,64990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990
133693,JBL Flip 6 - Gris,Parlante Portátil Bluetooth,JBL,20 W.,https://www.solotodo.cl/products/133693-jbl-flip-6-gris,114141,102990,-11151,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124990,124990,124990,124990,99990,99990,99990,99990,99990,99990,124990,124990,99990,99990,99990,99990,124990,124990,124990,124990,124990,124990,124990,124990,124990,124990,124990,124990,124990,124990,124990,124990,124990,124990,124990,124990,124990,124990,124990,116990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,104990,102990,102990
57678,Marshall Stanmore II (Negro),Parlante Portátil Bluetooth,Marshall,50 W.,https://www.solotodo.cl/products/57678-marshall-stanmore-ii-negro,299221,269990,-29231,10,349990,319990,349990,349990,349990,349990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,279990,279990,279990,279990,279990,279990,279990,279990,309990,309990,319990,319990,319990,319990,319990,319990,319990,319990,349990,349990,349990,349990,349990,349990,349990,,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,308864,275590,275590,275590,275590,349990,,278490,278490,278490,278490,278490,278490,278490,278490,278490,308864,278490,278490,278490,308864,308864,287878,308864,308864,308864,308864,308864,287875,308864,308864,308864,308864,308864,349990,308864,308626,308626,272703,272703,272624,272624,272624,272624,272703,272703,272624,272624,272624,272624,249990,272624,272624,272703,272624,272624,272624,272624,272624,272624,272624,272624,272624,272624,272624,272624,272624,272703,276382,276382,276382,276382,276382,276382,276346,276382,276382,276382,276382,276382,276382,278499,276382,278499,281370,281370,281132,269990
