id,name,model,price,today,diff price,diff percent,capacity,format,bundle,url,12/12/21,13/12/21,14/12/21,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,27/12/21,28/12/21,29/12/21,30/12/21,31/12/21,02/01/22,03/01/22,04/01/22,05/01/22,06/01/22,07/01/22,08/01/22,09/01/22,10/01/22,11/01/22,12/01/22,13/01/22,14/01/22,15/01/22,16/01/22,17/01/22,18/01/22,19/01/22,20/01/22,21/01/22,24/01/22,25/01/22,26/01/22,27/01/22,28/01/22,29/01/22,31/01/22,01/02/22,02/02/22,03/02/22,04/02/22,05/02/22,06/02/22,07/02/22,08/02/22,09/02/22,10/02/22,11/02/22,13/02/22,15/02/22,16/02/22,17/02/22,18/02/22,20/02/22,21/02/22,22/02/22,23/02/22,25/02/22,26/02/22,27/02/22,28/02/22,01/03/22,02/03/22,03/03/22,05/03/22,06/03/22,07/03/22,08/03/22,10/03/22,11/03/22,12/03/22,13/03/22,14/03/22,15/03/22,16/03/22,17/03/22,18/03/22,20/03/22,21/03/22,22/03/22,23/03/22,24/03/22,25/03/22,27/03/22,28/03/22,29/03/22,30/03/22,31/03/22,01/04/22,04/04/22,05/04/22,06/04/22,08/04/22,09/04/22,11/04/22,12/04/22,13/04/22,18/04/22,19/04/22,20/04/22,21/04/22,22/04/22,23/04/22,24/04/22,25/04/22,26/04/22,27/04/22,28/04/22,29/04/22,30/04/22,01/05/22,02/05/22,03/05/22,04/05/22,05/05/22,06/05/22,09/05/22,10/05/22,11/05/22,12/05/22,13/05/22,16/05/22,17/05/22,18/05/22,19/05/22,20/05/22,23/05/22
73759,Nintendo Switch Joy-Con Color Animal Crossing Edition,Nintendo Switch Joy-Con Color,378268,349990,-28278,7,32 GB,Híbrida (Portátil y Sobremesa),No posee,https://www.solotodo.cl/products/73759-nintendo-switch-joy-con-color-animal-crossing-edition,329990,329990,329990,359990,359990,359990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,359990,379990,379990,379990,399900,359990,399900,399900,399900,399900,399900,399900,399900,399900,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,354990,354990,349990,349990
66241,Nintendo Switch Refresh Neon,Nintendo Switch Refresh Neon,332525,310000,-22525,7,32 GB,Híbrida (Portátil y Sobremesa),No posee,https://www.solotodo.cl/products/66241-nintendo-switch-refresh-neon,329990,329990,329990,339990,339990,339990,349990,349990,349990,339990,339990,339990,339990,339990,344990,344990,344990,344990,344990,344990,354990,354990,354990,349990,354990,354990,354990,349990,349990,349990,349990,345590,345590,345590,345590,349990,339990,339990,339990,339990,339990,339990,339990,329990,329990,339990,369990,310000,349990,349990,349990,349990,349990,349990,349990,349990,349990,339990,339990,339990,339990,339990,339990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,339990,339990,339990,339990,339990,339990,329990,324990,324990,324990,324990,324990,324990,324990,324990,339990,334990,324990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,299990,299990,314990,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,299000,299000,299000,299000,299000,299000,299000,299000,299000,299000,299000,299000,299000,329990,329990,329990,310000
31394,Sony PS4 Slim 1 TB,Sony PlayStation 4 Slim 1 TB,500187,469990,-30197,6,1000 GB,Sobremesa,No posee,https://www.solotodo.cl/products/31394-sony-ps4-slim-1-tb,,,,,,519990,549990,549990,549990,549990,549990,549990,549990,669990,669990,669990,669990,669990,669990,549990,669990,669990,669990,669990,669990,669990,669990,419990,499990,499990,499990,479990,479990,479990,479990,479990,479990,479990,429990,429990,429990,429990,429990,429990,429990,429990,399990,549990,549990,599990,599990,599990,599990,599990,599990,599990,599990,534990,534990,534990,534990,534990,534990,534990,534990,534990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,,519990,519990,519990,,429990,429990,429990,419990,429990,429990,429990,429990,429990,429990,429990,399990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,479990,479990,479990,469990,469990
134045,Microsoft Xbox Series S + Audífonos Xbox,Microsoft Xbox Series S,411479,390000,-21479,5,512 GB,Sobremesa,Audífonos Xbox,https://www.solotodo.cl/products/134045-microsoft-xbox-series-s-audifonos-xbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499990,499990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,422900,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,390000,390000,390000,390000,390000,390000
73849,Nintendo Switch Refresh Gray,Nintendo Switch Refresh Gray,351945,334990,-16955,5,32 GB,Híbrida (Portátil y Sobremesa),No posee,https://www.solotodo.cl/products/73849-nintendo-switch-refresh-gray,329990,329990,329990,329990,329990,329990,329990,349990,349990,329990,349990,349990,349990,349990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,349990,349990,349990,349990,349990,349990,349990,349990,369990,369990,314990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,439990,439990,439990,439990,439990,349990,349990,349990,349990,349990,349990,326990,344990,344990,344990,329990,329990,329990,329990,329990,329990,329990,329990,329990,439990,334990,334990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,334990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,334990,334990
63762,Nintendo Switch Lite Gray,Nintendo Switch Lite Gray,209915,199990,-9925,5,32 GB,Portátil,No posee,https://www.solotodo.cl/products/63762-nintendo-switch-lite-gray,209990,209990,219990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,214990,214990,209990,209990,209990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,209990,209990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,209990,209990,209990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,214990,219990,214990,214990,214990,214990,214990,214990,214990,204990,204990,204990,204990,204990,204990,204990,214990,214990,214990,214990,214990,214990,214990,214990,214990,209990,209990,209990,209990,209990,219990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,209990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990
79133,Nintendo Switch Lite Coral,Nintendo Switch Lite Coral,220334,209990,-10344,5,32 GB,Portátil,No posee,https://www.solotodo.cl/products/79133-nintendo-switch-lite-coral,,,,,,,,,,,,,,,,,,,,,,,,,239990,239990,239990,249990,249990,241990,241990,241990,249990,249990,249990,241990,241990,241990,241990,241990,241990,241990,241990,241990,249990,259990,259990,,,,,,,,241990,241990,259990,,,,,,,,259990,249990,249990,249990,249990,227990,214990,227990,227990,227990,227990,219990,219990,219990,219990,219990,219990,219990,219990,219990,219990,219990,219990,219990,219990,219990,219990,219990,219990,219990,229990,229990,229990,229990,229990,229990,199990,199990,199990,199990,199990,189990,189990,189990,189990,189990,189990,189990,189990,199990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,189990,199990,189990,189990,189990,189990,189990,209990,209990,209990,209990
93564,Nintendo Switch Lite Turquoise + Animal Crossing: New Horizons,Nintendo Switch Lite Turquoise,261990,249990,-12000,5,32 GB,Portátil,Animal Crossing: New Horizons,https://www.solotodo.cl/products/93564-nintendo-switch-lite-turquoise-animal-crossing-new-horizons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269990,,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,,,269990,269990,269990,269990,309990,309990,269990,269990,269990,269990,269990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990
75745,Microsoft Xbox One S 1 TB All-Digital Edition,Microsoft Xbox One S 1 TB,208175,199990,-8185,4,1000 GB,Sobremesa,No posee,https://www.solotodo.cl/products/75745-microsoft-xbox-one-s-1-tb-all-digital-edition,,,,,,,,,,,,,192990,192990,192990,192990,192990,192990,192990,192990,192990,192990,192990,192990,189980,189980,189980,189980,189980,189980,189980,189980,189980,189980,189980,189980,189980,199990,199990,199990,199990,199990,199990,209980,209980,209980,209980,209980,209980,209980,209980,209980,209980,209980,209980,219990,219990,219990,219990,219990,219990,219990,219990,219990,219990,219990,219990,219990,219990,219990,219990,,219990,219990,,,,219990,219990,219990,219990,219990,219990,219990,219990,,,,,,,189980,189980,,,,,,,,,,,,,,,,,,,,,,,,,,,,229990,229990,229990,219990,229990,229990,229990,229990,229990,229990,199990,199990,199990,199990,199990
30271,Sony PS4 Slim 500 GB,Sony PlayStation 4 Slim 500 GB,487689,469990,-17699,4,500 GB,Sobremesa,No posee,https://www.solotodo.cl/products/30271-sony-ps4-slim-500-gb,519990,424990,519990,429990,429990,499000,439990,439990,549990,549990,549990,549990,439990,549990,549990,549990,549990,549990,549990,549990,549990,529990,529990,529990,529990,529990,529990,529990,529990,529990,529990,529990,529990,529990,529990,529990,529990,529990,529990,499990,499990,499990,499990,499990,499990,499990,499990,499990,469990,469990,469990,469990,469990,469990,469990,469990,469990,499990,499990,499990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,449990,449990,449990,,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,479990,479990,479990,479990,479990,549990,549990,549990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990
