id,name,price,today,diff price,diff percent,socket,brightness,eq power,watts,url,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,27/12/21,28/12/21,29/12/21,30/12/21,31/12/21,02/01/22,03/01/22,04/01/22,05/01/22,06/01/22,07/01/22,08/01/22,09/01/22,10/01/22,11/01/22,12/01/22,13/01/22,14/01/22,15/01/22,16/01/22,17/01/22,18/01/22,19/01/22,20/01/22,21/01/22,24/01/22,25/01/22,26/01/22,27/01/22,28/01/22,29/01/22,31/01/22,01/02/22,02/02/22,03/02/22,04/02/22,05/02/22
97572,Ampolleta LED Philips Hue (GU10 / Spot / 6 - 50W / Luz multicolor),47490,47490,0,0,GU10,350 lm.,50 W.,5.7 W.,https://www.solotodo.cl/products/97572-ampolleta-led-philips-hue-gu10-spot-6-50w-luz-multicolor,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490
45608,Ampolleta LED OPPLE (E40 / Bulbo / 28W / Luz fría),12432,12432,0,0,E40,2800 lm.,Desconocido,28 W.,https://www.solotodo.cl/products/45608-ampolleta-led-opple-e40-bulbo-28w-luz-fria,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432,12432
45610,Ampolleta LED OPPLE (E27 / Bulbo / 14W / Luz fría),2898,2898,0,0,E27,Desconocido,Desconocido,14 W.,https://www.solotodo.cl/products/45610-ampolleta-led-opple-e27-bulbo-14w-luz-fria,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898
45607,Ampolleta LED OPPLE (E40 / Bulbo / 40W / Luz fría),16576,16576,0,0,E40,4000 lm.,Desconocido,40 W.,https://www.solotodo.cl/products/45607-ampolleta-led-opple-e40-bulbo-40w-luz-fria,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576
45606,Ampolleta LED OPPLE (E40 / Bulbo / 70W / Luz fría),20719,20719,0,0,E40,7000 lm.,Desconocido,70 W.,https://www.solotodo.cl/products/45606-ampolleta-led-opple-e40-bulbo-70w-luz-fria,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719,20719
27463,Ampolleta LED Rhona (E27 / Bulbo / 5W / Luz cálida),5940,5940,0,0,E27,Desconocido,Desconocido,5 W.,https://www.solotodo.cl/products/27463-ampolleta-led-rhona-e27-bulbo-5w-luz-calida,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940
37529,Ampolleta LED Lucila (E27 / A60 / 6 - 75W / Luz cálida),2990,2990,0,0,E27,660 lm.,75 W.,6 W.,https://www.solotodo.cl/products/37529-ampolleta-led-lucila-e27-a60-6-75w-luz-calida,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990,2990
64064,Ampolleta LED OPPLE E-R63-CT (E27 / R63 / 9W / Luz cálida),1415,1415,0,0,E27,700 lm.,Desconocido,9 W.,https://www.solotodo.cl/products/64064-ampolleta-led-opple-e-r63-ct-e27-r63-9w-luz-calida,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415
37534,Ampolleta LED Lucila (E27 / R63 / 6W / Luz fría),6690,6690,0,0,E27,660 lm.,Desconocido,6 W.,https://www.solotodo.cl/products/37534-ampolleta-led-lucila-e27-r63-6w-luz-fria,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690,6690
27451,Ampolleta LED Rhona (GU5.3 / MR16 / 6W / Luz cálida),1465,1465,0,0,GU5.3,Desconocido,Desconocido,6 W.,https://www.solotodo.cl/products/27451-ampolleta-led-rhona-gu53-mr16-6w-luz-calida,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465,1465
