id,name,type,screen,size,hearth rate,waterproof,conectividad,url,price,diff price,23/11/21,24/11/21,25/11/21,26/11/21
92167,Apple Watch SE 44mm (GPS Only / Sport Band / Pink Sand) [MYDR2BE/A],Smartwatch,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/92167-apple-watch-se-44mm-gps-only-sport-band-pink-sand-mydr2bea,287990,-12000,251990.0,299990.0,299990.0,299990
125621,Apple Watch SE 40mm (GPS Only / Sport Band / Space Gray / Midnight),Smartwatch,"Retina LTPO OLED 1,6"" táctil (324x394 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/125621-apple-watch-se-40mm-gps-only-sport-band-space-gray-midnight,287490,-2500,279990.0,289990.0,289990.0,289990
124734,Apple Watch SE 40mm (GPS Only / Sport Band / Silver / Abyss Blue),Smartwatch,"Retina LTPO OLED 1,6"" táctil (324x394 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/124734-apple-watch-se-40mm-gps-only-sport-band-silver-abyss-blue,287490,-2500,279990.0,289990.0,289990.0,289990
124735,Apple Watch SE 40mm (GPS Only / Sport Band / Gold / Starlight),Smartwatch,"Retina LTPO OLED 1,6"" táctil (324x394 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/124735-apple-watch-se-40mm-gps-only-sport-band-gold-starlight,284990,-5000,269990.0,289990.0,289990.0,289990
88378,Apple Watch SE 40mm (GPS Only / Sport Band / Silver) [MYDM2BE/A],Smartwatch,"Retina LTPO OLED 1,6"" táctil (324x394 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/88378-apple-watch-se-40mm-gps-only-sport-band-silver-mydm2bea,269990,0,269990.0,269990.0,269990.0,269990
84041,Apple Watch 3 38mm LTE - Aluminium Silver (MTGG2LL/A),Smartwatch,"OLED 1.5"" táctil (272x340 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 4.2
LTE
NFC
Wi-Fi",https://www.solotodo.cl/products/84041-apple-watch-3-38mm-lte-aluminium-silver-mtgg2lla,249990,0,249990.0,249990.0,249990.0,249990
82910,Apple Watch 3 38mm LTE - Aluminium Space Gray (MTGP2CI/A),Smartwatch,"OLED 1.5"" táctil (272x340 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 4.2
LTE
NFC
Wi-Fi",https://www.solotodo.cl/products/82910-apple-watch-3-38mm-lte-aluminium-space-gray-mtgp2cia,249990,0,249990.0,249990.0,249990.0,249990
59513,Apple Watch 3 42mm - Silver (MTF22CL/A),Smartwatch,OLED táctil (312x390 px.),M,Sí,Sí,"Bluetooth Low Energy (LE) 4.2
NFC
Wi-Fi",https://www.solotodo.cl/products/59513-apple-watch-3-42mm-silver-mtf22cla,227490,-2500,219990.0,229990.0,229990.0,229990
59514,Apple Watch 3 42mm - Space Gray (MTF32CL/A),Smartwatch,OLED táctil (312x390 px.),M,Sí,Sí,"Bluetooth Low Energy (LE) 4.2
NFC
Wi-Fi",https://www.solotodo.cl/products/59514-apple-watch-3-42mm-space-gray-mtf32cla,219990,0,219990.0,219990.0,219990.0,219990
59515,Apple Watch 3 38mm - Silver (MTEY2CL/A),Smartwatch,"OLED 1.5"" táctil (272x340 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 4.2
NFC
Wi-Fi",https://www.solotodo.cl/products/59515-apple-watch-3-38mm-silver-mtey2cla,189990,0,189990.0,189990.0,189990.0,189990
59753,Apple Watch 3 38mm - Space Gray (MTF02CL/A),Smartwatch,"OLED 1.5"" táctil (272x340 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 4.2
NFC
Wi-Fi",https://www.solotodo.cl/products/59753-apple-watch-3-38mm-space-gray-mtf02cla,187490,7500,189990.0,189990.0,189990.0,179990
